programname,total_zipcode_sum
MIDDLE VILLAGE ADULT CENTER (4AT),22758
RISEBORO - CMA - BK01 03 04 (2MP),22442
LIFELONG LEARNING CENTER @ ENCORE WEST (W14),10019
BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),11234
CCNS SEASIDE OAC (C17),11693
COPO (2TT),11230
ENCORE HOME DELIVERED MEALS (36G),10019
GODDARD RIVERSIDE OAC AT WEST 88TH STREET (C36),10024
EAST SIDE HOUSE INC. (11V),20908
WAYSIDE OUT TILDEN SENIOR CENTER (C90),11212
JASA BROOKLYN HOME DELIVERED MEALS (29E),67434
JASA SENIOR ALLIANCE OLDER ADULT CENTER (C83),22470
CASABE SENIOR HOUSES AKA EAST HARLEM NSC (C30),10035
POLO GROUNDS SATELLITE (MN10) (C26),10039
GREENWICH HOUSE GMH MN 1-8 (6G8),10001
EAST SIDE HOUSE - HDM - BX1-6 (11S),20908
NYFSC MOTT STREET OLDER ADULT CENTER (C51),10012
HMH – CITYWIDE (6K1),10038
BETANCES (W16),10454
ALBANY OAC (C35),11213
CPC NY CHINATOWN NEIGHBORHOOD SENIOR CENTER (C21),10002
OCEAN BAY CDC OLDER ADULT CENTER (C53),11693
JASA QUEENS HOME DELIVERED MEALS (46G),70146
