bn,expected_grade_span_max,expected_grade_span_min,progcount,program_highlights,type,se_services
Q520,,,1,"The focus in grades 9 and 10 (lower division) is academic and literacy skill development to prepare students for college course work. Starting in the 10th grade students become eligible to apply for college courses. During their senior year, students can apply to remain a 5th year to receive their Associate Degree or earn college credits from LaGuardia Community College. All students are required to enroll in college classes. All students who are enrolled in college classes receive extra support through daily seminar classes.",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
R600,,,6,"Scholars Institute: Honors Courses; Advancement Via Individual Determination (AVID), Project Lead The Way, Work-based Learning, State & Industry Certifications, McKee Advertising Design Enterprise (MADE); Italian, Art, Precalculus, Calculus, College Now, After-school Tutoring",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
X508,,,1,"Advisory, Pre-College and Career Planning, Read 180, AP's Springboard, Great Books, Technology in every classroom, Arts, Culinary Arts, College Visits, Artist-in-Residence for Drama, Inquiry-Based Learning, Partnership with the Institute for Student Achievement",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
K558,,,1,"Students may receive CTE endorsement in the following areas: Architectural Drafting & Architectural CAD/CADD. As part of our studio and portfolio requirements, students are challenged to build working prototypes of their designs. This course of study has made our students highly desirable for paid internship positions at industry partners. Students are also given opportunities to engage in the ACE mentoring, SkillsUSA and College Now programs.",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
K071,,,4,"4-year sequence of talent courses culminating in an Arts Endorsed Diploma opportunity, Advanced Placement courses, college readiness counseling provided by College Bound Initiative counselor, CUNY At Home In College English and math courses, blended/online learning for credit through APEX/AVENTA, mentoring with working professionals through iMentor, art installations in local galleries through partnerships with BRIC Rotunda and NURTUREart, technology courses",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
M463,,,1,"Visual Arts Program, Creative Writing/Theater Arts Program, Honors-level courses in English, Global History, and United States History; Journalism/School Newspaper, Student Leadership Program, Freshman Advisory Program, National Honor Society, Writing for College, Introduction to Film, Achieve Now Academy Program, Student Government, College Now Program at The City College of New York",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
Q248,,,1,"College Advisory, College Tours, College Now Courses, Humanities, Financial Literacy, Pre-engineering, Robotics, Instructional Technology, MOUSE Squad, Digital Photography, Leadership & Mentorship Programs, Peer Mediation, Conflict Resolution, Extended Day Science, Technology, Engineering, and Mathematics (STEM) Enrichment Courses, Summer Enrichment Placements, 3-year Talent Block: Visual Arts, School Band, Improv, Senior Internship, 9th Grade Leadership Development, Career and College Planning",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
Q896,,,1,"CollegeBound Initiative, Accelerated Classes, Music, Art, Performing Arts, Drama, College Now",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
Q283,,,1,"Individualized College, Academic and Career Planning; Advisory, Focus on developing strong writing skills",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
X565,12.0,9.0,1,"CTE Program Sequences in Building Operations and Technology; Advisory, Cooperative Learning Groups, Project-based Learning, Work-based Internship Opportunities, College Trips, College Prep Counseling, Career Counseling. As we expand, we plan to offer Online AP courses in Calculus AB, Calculus BC, World History, United States History, Environmental Science, and English Literature",School,This school will provide students with disabilities the supports and services indicated on their IEPs
X260,,,1,"Advisory, Guidance and College Preparatory, Mentoring, Leadership, Summer Enrichment at universities and colleges, PSAT and SAT Preparatory, Comprehensive After-school Program, Peer Tutoring, Evening School and Summer Institute for Credit Recovery",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
X334,,,1,"Small academic classes that incorporate English and Native Languages, Internship, Advisory, College Now, Drama, Studio Art, College Summit, Senior Mentoring",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
K393,,,1,"College Now with Medgar Evers College, Fresh Prep Core, Science, Technology, Engineering & Mathematics (STEM) Robotics with New York City College of Technology, Dance4Peace",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
M304,,,1,"Online grading system for parents and students, Before- and -after school tutoring, Saturday Academy, Tutoring with City College, College Now, College for Every Student (CFES), College Prep with Columbia University, Regents Prep Program, iZone, Advanced Placement courses, Credit Recovery Electives",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
K540,,,8,"Computer Science Institute, Medical & Health Professions, Academy of Finance (NAF), FIRST Robotics, Pre-Engineering, Bilingual Chinese, Marine Science, Space Science Academy, HTML Web Design, Computer Graphic Design, Fashion Design, Performing Arts & Dance, Photography, Computer Graphics & Visual Arts, Ceramics, College Now, Culinary ACE Cafe, Saturday & After-school English Language Learners (ELL) Academy",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
M419,,,1,"Performance-based Assessments: All students are required to do in-depth research and writing and present their portfolios in front of a committee. College Opportunities: College Now, Upward Bound, College Trips, Full-time College Advisor, Partnerships with Baruch College, New York University (NYU), and John Jay College. Special programs: Art for Progress, Music classes through the Midori Foundation, Jazz Ensemble, Choral Music, Drama Program with Stage Doors and Youth Theater Initiative, SAT Prep, After-school clubs and activities, PSAL Sports",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
K445,,,8,"Academic Honors Academy, Medical & Health Careers, Business and Technology, Academy of Hospitality and Tourism, Academy of Legal Studies, Small Business Operations, College Now",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
Q258,12.0,9.0,1,"Associate's degree - Up to two years of college coursework in engineering, College classes as early as 10th grade, Internships and apprenticeships, Off-site technical training, Mentor program, College and career trips, Small-group “learning labs,” Daily Advisory groups, Town Hall meetings, Student e-portfolios, Opportunities for collaborative and problem-based learning. Language Classes: As we expand, we plan to offer Spanish and Spanish Native Language Arts.",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
R064,,,1,"Expeditionary Learning: in-depth investigations of academic curricula that incorporate real-world connections, project-based learning and character development, utilizing outside experts; Crew: Advisory group of 12-15 students who work with one staff member to receive guidance, develop leadership, support academics and build character",School,This school will provide students with disabilities the supports and services indicated on their IEPs.
