supermarket_grocery_open,national_median_site_energy,electricity_use_grid_purchase_2,water_use_intensity_all_water,weather_normalized_site_energy,financial_office_computer,category,count,avg_value,total_value,max_value
,4478470.2,2384042.9,29.37,3766554.8,,Low Water Intensity,1,29.37,29.37,29.37
,18583673.8,4939856.1,77.87,23291146.7,,Low Water Intensity,1,77.87,77.87,77.87
,930360.3,1051476.0,5.04,1206672.6,,Low Water Intensity,1,5.04,5.04,5.04
,3577779.7,1015421.4,,4059823.2,,Low Water Intensity,1,,,
,5083524.1,676989.3,57.11,4068358.5,,Low Water Intensity,1,57.11,57.11,57.11
,12410330.9,334421.8,47.98,9511077.4,,Low Water Intensity,1,47.98,47.98,47.98
,3824651.8,577277.3,78.05,5936533.5,,Low Water Intensity,1,78.05,78.05,78.05
,6876680.6,,89.66,4391592.6,,Low Water Intensity,1,89.66,89.66,89.66
,51326296.3,22772513.7,12.07,36576027.3,,Low Water Intensity,2,12.07,24.14,12.07
,12429923.4,3310988.8,22.36,7732303.5,,Low Water Intensity,1,22.36,22.36,22.36
,4213110.4,1857629.3,2.11,5652713.7,,Low Water Intensity,1,2.11,2.11,2.11
,8803368.5,2849914.3,107.85,9497943.3,,Medium Water Intensity,1,107.85,107.85,107.85
,74484532.8,29697682.9,51.65,118682310.8,,Low Water Intensity,1,51.65,51.65,51.65
,1078289.2,30533.7,20.84,30533.7,,Low Water Intensity,1,20.84,20.84,20.84
,8109106.7,3440514.1,10.21,3401633.4,,Low Water Intensity,6,10.21,61.260000000000005,10.21
,5917640.5,3554618.2,19.74,6768721.4,,Low Water Intensity,1,19.74,19.74,19.74
,10675850.4,1667321.6,14.71,5641383.2,,Low Water Intensity,1,14.71,14.71,14.71
,3294803.5,357323.7,89.74,2415277.1,,Low Water Intensity,1,89.74,89.74,89.74
,5820480.1,730418.8,80.18,6902113.2,,Low Water Intensity,2,80.18,160.36,80.18
,6136383.9,,135.24,4993565.3,,Medium Water Intensity,1,135.24,135.24,135.24
,15046599.3,4667865.1,21.09,9574462.7,,Low Water Intensity,1,21.09,21.09,21.09
,66095709.6,24354115.6,0.0,62956611.7,,Low Water Intensity,1,0.0,0.0,0.0
,15161093.5,8988402.2,36.16,10368470300.0,,Low Water Intensity,1,36.16,36.16,36.16
,144376363.7,36343156.8,13.8,88122389.2,2.30468,Low Water Intensity,3,13.800000000000002,41.400000000000006,13.8
,15613894.2,2283717.5,9.62,8385378.0,,Low Water Intensity,2,9.62,19.24,9.62
,6719198.7,6712632.3,,18215739.0,,Low Water Intensity,1,,,
,90478256.5,32269000.2,23.36,61050032.6,,Low Water Intensity,1,23.36,23.36,23.36
,13420633.1,1927126.6,90.95,12060483.3,,Low Water Intensity,1,90.95,90.95,90.95
,12498702.2,6795008.2,13.01,8952952.0,,Low Water Intensity,1,13.01,13.01,13.01
,46433015.8,18711056.6,22.35,25533635.8,,Low Water Intensity,1,22.35,22.35,22.35
,10931594.6,5346310.6,,9194561.5,,Low Water Intensity,1,,,
,11597691.4,1628687.8,97.0,10872733.8,,Low Water Intensity,1,97.0,97.0,97.0
,5918097.4,1546295.5,6.92,3397608.0,,Low Water Intensity,2,6.92,13.84,6.92
,5111342.5,86155.5,68.91,4220047.1,,Low Water Intensity,2,68.91,137.82,68.91
,17514005.0,6085452.1,,8419718.4,,Low Water Intensity,1,,,
,7618705.4,16213.8,4.22,4468824.3,,Low Water Intensity,1,4.22,4.22,4.22
,1533888.1,652804.7,1.13,1778956.4,,Low Water Intensity,1,1.13,1.13,1.13
,39547150.7,14669112.7,12.0,22606543.2,,Low Water Intensity,1,12.0,12.0,12.0
,10229890.6,3946479.6,,11433347.2,,Low Water Intensity,1,,,
