contractor_name,borough,floor,building_owner_name,procedure_name,total,count,average
JME Environmental Corp.,Manhattan,10th Floor,"APF 28 W 44 Owner LP, C/o APF Properties, LLC",Interior Foam,1500,1,1500.0
"New York Environmental Systems, Inc.",Queens,2ND,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,811,1,811.0
"Atco Contracting Group, Inc.",Brooklyn,Cellar,New York City Housing Authority (NYCHA),Full Containment,681,1,681.0
"Abatement Unlimited, Inc.",Brooklyn,1,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,633,1,633.0
"Empire Control Abatement, Inc.",Bronx,11,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,577,1,577.0
"Atco Contracting Group, Inc.",Brooklyn,Cellar,New York City Housing Authority (NYCHA),DEP Variance,525,1,525.0
Maspeth Remodeling Co. Inc. DBA Maspeth Environmen,Brooklyn,Cellar,Holy Cross RC Church,Interior Foam,425,1,425.0
Maven Construction Corp.,Bronx,Sub-Bas,NYC School Construction Authority (NYCSCA),DEP Variance,300,2,150.0
"Regional Management & Consulting, Inc.",Brooklyn,2,New York City Housing Authority (NYCHA),Exterior Vertical Surface,274,1,274.0
"ACA Environmental Services, Inc.",Manhattan,5th,Teachers College at Columbia University,Full Containment,210,1,210.0
Maspeth Remodeling Co. Inc. DBA Maspeth Environmen,Queens,Cellar,Clearview Gardens Corporation,Tent,190,1,190.0
"Shannon Abatement, Inc.",Manhattan,Sub-bsmt,SL Green Realty Corp.,Full Containment,180,1,180.0
Atrium NYC Inc.,Queens,2st Floor,Queensboro Tower LLC,Interior Foam,140,1,140.0
P.A.L. Environmental Safety Corp.,Manhattan,05,Brookfield Properties,DEP Variance,110,2,55.0
"KLG Contracting, Inc.",Manhattan,8th Floor,305 West End Property LLC,DEP Variance,48,1,48.0
Steve Wilk Construction Inc.,Brooklyn,basement,Leon Goldenberg,Tent,45,1,45.0
"ETS Contracting, Inc.",Bronx,1st Floor,New York Public Library,DEP Variance,31,1,31.0
"ETS Contracting, Inc.",Bronx,1st Floor,NYC School Construction Authority (NYCSCA),Tent,25,1,25.0
ENP Environmental Inc.,Manhattan,12th Floor,"Scott Landesman, Trustee of 145 CPW UWS Trust",Tent,20,1,20.0
"Belgrave Enterprises, Limited Liability Company",Brooklyn,1ST FLR,New York City Housing Authority (NYCHA),Tent,18,1,18.0
"ETS Contracting, Inc.",Manhattan,1st Flr,NYC School Construction Authority (NYCSCA),Exterior Vertical Surface,14,2,7.0
"ETS Contracting, Inc.",Manhattan,3rd Flr,NYC School Construction Authority (NYCSCA),Exterior Vertical Surface,14,2,7.0
"The Asbestos Contractor, Inc.",Brooklyn,9,Pratt Institute,Tent,12,2,6.0
"Zoria Housing, LLC",Manhattan,15th,Mount Sinai West,Exterior Vertical Surface,10,2,5.0
"Zoria Housing, LLC",Manhattan,15th,New York City Housing Authority (NYCHA),Exterior Vertical Surface,10,2,5.0
"New York Environmental Systems, Inc.",Brooklyn,12th,New York City Housing Authority (NYCHA),Tent,9,1,9.0
Zoria Housing LLC,Brooklyn,5,New York City Housing Authority (NYCHA),Exterior Vertical Surface,8,1,8.0
T L D Services Inc,Brooklyn,3rd,New York City Housing Authority (NYCHA),Exterior Vertical Surface,8,2,4.0
"New York Environmental Systems, Inc.",Bronx,Basement,New York City Housing Authority (NYCHA),Exterior Vertical Surface,6,1,6.0
Pinnacle Environmental Corp.,Brooklyn,5.5,"Consolidated Edison   Company of NY, Inc.",Exterior Foam,4,1,4.0
T L D Services Inc,Bronx,2nd,New York City Housing Authority (NYCHA),DEP Variance,4,1,4.0
New York Insulation Inc.,Manhattan,2,17 and 24 Corporation,DEP Variance,4,1,4.0
P.A.L. Environmental Safety Corp. dba PAL Environm,Manhattan,23,"Silverstein Properties, Inc.",Exterior Vertical Surface,4,1,4.0
