fact_column,total_dimension1,average_dimension2
149-11 Melbourne Avenue,1642399.8,50.0
41 Madison Ave,4836140.5,50.0
560 Lexington Avenue,3346902.0,50.0
4210 Arthur Kill Road,84000.0,50.0
420 Beach 51st Street,421920.0,50.0
15-30 Petracca Place,920156.4,50.0
35-01 Union Street,1102159.8,50.0
900 Tinton Avenue,687999.9,50.0
1695 Seward Avenue,323040.0,50.0
9115 5th Avenue,545599.9,50.0
639 St Ann's Avenue,8400.0,50.0
116 West 11th Street,326812.0,50.0
681 Kelly Street,538799.9,50.0
34 West 118th Street,770399.9,50.0
24 State Street,10251529.9,50.0
1007 Evergreen Avenue,355200.0,50.0
120 East 184th Street,1035959.8,50.0
350 Gerard Avenue,1019556.4,50.0
8010 12th Avenue,486399.9,50.0
1399 Ogden Avenue,377200.0,50.0
1071 Fifth Avenue,3064978.2,50.0
65-10 Dieterle Crescent,328132.0,50.0
8973 Bay Parkway Suite 1,1762835.8,50.0
439 West 49th Street,1343999.8,50.0
616 Quincy Street,539599.9,50.0
188 Rochester Avenue,583599.9,50.0
1070 Castle Hill Avenue,334720.0,50.0
250 West 18th Street,551999.9,50.0
825 4th Avenue,266240.0,50.0
33-09 35th Avenue,690799.9,50.0
400 Ashford Street,422239.9,50.0
54-25 Skillman Avenue,1300617.9,50.0
223 Graham Avenue,577599.9,50.0
179-01 90th Avenue,455479.9,50.0
75-10 21st Avenue,226400.0,50.0
149 East Mosholu Parkway,1079199.8,50.0
27-01 QUEENS PLAZA NORTH,8542142.5,50.0
1328 Putnam Avenue,269360.0,50.0
215 West 114th Street,1527199.7,50.0
1375 Mace Avenue,289120.0,50.0
2 Penn Plaza,13928261.0,50.0
490 Hudson Street,351519.9,50.0
57-12 94th Street,799999.9,50.0
70 Ocean Parkway,407597.5,50.0
194 Harman Street,756399.9,50.0
2944 Pitkin Avenue,261200.0,50.0
227 Sterling Place,230411.8,50.0
58 Lawrence Avenue,332000.0,50.0
74-01 78th Avenue,565599.9,50.0
800 Gates Avenue,1260183.5,50.0
