neighborhood,building_classification,total,average,count
WILLIAMSBURG-NORTH,C6-WALK-UP,470925,470925.0,1
OCEAN PARKWAY-NORTH,D4-ELEVATOR,3817685,1272561.6666666667,3
CROWN HEIGHTS,C8-WALK-UP,197921,197921.0,1
FLATBUSH-CENTRAL,D4-ELEVATOR,1707420,853710.0,2
CLINTON HILL,D4-ELEVATOR,1713866,1713866.0,1
SHEEPSHEAD BAY,D4-ELEVATOR,2940620,1470310.0,2
PARK SLOPE,D4-ELEVATOR,8600028,452633.05263157893,19
WINDSOR TERRACE,D4-ELEVATOR,6035981,317683.2105263158,19
GREENPOINT,C6-WALK-UP,324883,324883.0,1
BENSONHURST,D4-ELEVATOR,642575,642575.0,1
BATH BEACH,C6-WALK-UP,1495679,1495679.0,1
FLATBUSH-CENTRAL,C6-WALK-UP,132897,132897.0,1
OCEAN HILL,C6-WALK-UP,188850,188850.0,1
KENSINGTON,C6-WALK-UP,372376,372376.0,1
PROSPECT HEIGHTS,C6-WALK-UP,496596,248298.0,2
MIDWOOD,D4-ELEVATOR,362021,362021.0,1
BROOKLYN HEIGHTS,D4-ELEVATOR,15813999,2635666.5,6
BAY RIDGE,D4-ELEVATOR,3126614,1563307.0,2
BRIGHTON BEACH,C6-WALK-UP,560032,560032.0,1
PARK SLOPE,C6-WALK-UP,22177492,403227.12727272726,55
WINDSOR TERRACE,C6-WALK-UP,13780395,255192.5,54
OCEAN PARKWAY-SOUTH,D4-ELEVATOR,2844463,1422231.5,2
BOROUGH PARK,C6-WALK-UP,483000,241500.0,2
BROOKLYN HEIGHTS,C6-WALK-UP,630134,630134.0,1
PROSPECT HEIGHTS,D4-ELEVATOR,631008,631008.0,1
