school_name,priority01,category,count,avg_value,total_value,max_value
Queens Preparatory Academy,Priority to Queens students or residents who attend an information session,Low program count,1,1.0,1,1
Leadership and Public Service High School,Open to New York City residents,Low program count,1,2.0,2,2
Women's Academy of Excellence,Eligibility: Open only to female students,Low program count,1,1.0,1,1
William Cullen Bryant High School,Priority to Queens students or residents,Low program count,1,5.0,5,5
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Priority to Manhattan students or residents who attend an information session,Low program count,1,1.0,1,1
THE CINEMA SCHOOL,Open to New York City residents,Low program count,1,1.0,1,1
Bronx Career and College Preparatory High School,Priority to New York City residents who attend an information session,Low program count,1,1.0,1,1
The Urban Assembly School for Collaborative Healthcare,Priority to New York City residents who attend an information session,Low program count,1,1.0,1,1
Riverdale / Kingsbridge Academy (Middle School / High School 141),Eligibility: Open only to Bronx students or residents a. Priority to continuing 8th graders b. Then to students residing in the geographical catchment area c. Then to Bronx students or residents,Low program count,1,1.0,1,1
Repertory Company High School for Theatre Arts,Open to New York City residents,Low program count,1,1.0,1,1
Brooklyn High School of the Arts,Priority to Brooklyn students or residents,Low program count,1,5.0,5,5
Rockaway Park High School for Environmental Sustainability,Priority to Queens students or residents who attend an information session,Low program count,1,2.0,2,2
Pathways in Technology Early College High School (P-Tech),Priority to Brooklyn students or residents who attend an information session,Low program count,1,1.0,1,1
William E. Grady Career and Technical Education High School,Open to New York City residents,Low program count,1,5.0,5,5
EBC High School for Public Service - Bushwick,Priority to District 32 students or residents,Low program count,1,1.0,1,1
Schuylerville Preparatory High School,Priority to Bronx students or residents who attend an information session,Low program count,1,1.0,1,1
High School for Community Leadership,Priority to Queens students or residents who attend an information session,Low program count,1,1.0,1,1
Jacqueline Kennedy Onassis High School,Open to New York City residents,Low program count,1,1.0,1,1
Secondary School for Law,Priority to District 15 students or residents,Low program count,1,1.0,1,1
Lower Manhattan Arts Academy,Priority to Districts 1 and 2 students or residents who attend an information session,Low program count,2,1.0,2,1
Columbia Secondary School,Priority to continuing 8th graders,Low program count,1,1.0,1,1
