code1,total_dimension1,average_dimension2
K38R,0.53,0.9
M23A,0.44,0.87
M25A,0.87,0.97
X62X,0.61,0.84
A17A,0.56,0.85
K09X,0.49,0.91
M54A,0.41,0.89
X86R,0.37,0.86
L53A,0.42,0.83
A15A,0.97,0.95
Q26G,0.82,0.91
M86A,0.92,0.95
K04X,0.68,0.9
L65A,0.67,0.91
Q75X,0.24,0.85
A23A,0.71,0.87
X27A,0.48,0.83
Y56A,0.32,0.85
Q39Z,0.72,0.92
X07R,0.48,0.8
