location_name,digital_literacy,job_readiness_ex_resume_help,borough_name,wireline_up,wifi_dwn,full_location_address,rank,dense_rank
Jacob A. Riis Neighborhood Settlement Community Center,Y,Y,Queens,0.0,0.0,"10-25 41st Avenue, 11101, Queens, New York, USA",5,1
Club Holliswood Older Adult Center,N,N,Queens,20.9,94.1,"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA",1,2
South Jamaica Cornerstone Community Center,N,N,Queens,293.9,10.4,"109-04 160th Street, 11433, Queens, New York, USA",4,3
North Forest Park Library,N,N,Queens,500.0,24.4,"98-27 Metropolitan Avenue, 11375, Queens, New York, USA",2,4
Broad Channel Library,N,N,Queens,500.0,24.4,"16-26 Cross Bay Boulevard, 11693, Queens, New York, USA",2,4
Greenbelt Media Lab,N,N,Staten Island,,,"501 Brielle Avenue, 10314, Staten Island, New York, USA",1,1
St Charles Neighborhood Senior Center,N,N,Brooklyn,10.8,97.5,"55 Pierrepont Street, 11201, Brooklyn, New York, USA",5,1
Coney Island Library,Y,N,Brooklyn,15.0,100.0,"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA",3,2
Rugby Library,N,Y,Brooklyn,15.0,100.0,"1000 Utica Ave. , 11203, Brooklyn, New York, USA",3,2
Cypress Hills Adult Social Club,N,N,Brooklyn,30.4,416.6,"476 Fountain Avenue, 11208, Brooklyn, New York, USA",1,3
McCarren Media Lab,N,N,Brooklyn,160.8,103.6,"776 Lorimer Street, 11222, Brooklyn, New York, USA",2,5
Lenox Hill Neighborhood House,Y,Y,Manhattan,5.1,92.4,"332 E 70th Street, 10021, Manhattan, New York, USA",5,2
Carver Neighborhood Older Adults Center,Y,N,Manhattan,80.0,96.0,"55 East 102nd Street , 10029, Manhattan, New York, USA",4,4
SAGE Center Harlem,N,N,Manhattan,227.5,511.4,"221 West 143rd Street, 10030, Manhattan, New York, USA",2,5
Saint Nicholas Social Club,Y,N,Manhattan,420.2,420.2,"211 West 131st Street, 10027, Manhattan, New York, USA",3,6
Harry Belafonte 115th Street Library,N,Y,Manhattan,1000.0,1000.0,"203 West 115th Street, 10026, Manhattan, New York, USA",1,7
Melrose Mott Haven Neighborhood Senior Center,Y,N,Bronx,45.1,84.7,"372 East 152nd Street, 10455, Bronx, New York, USA",3,1
Sue Ginsburg Older Adult Center,N,N,Bronx,80.0,91.0,"975 Waring Avenue, 10469, Bronx, New York, USA",2,2
High Bridge Library,N,Y,Bronx,1000.0,1000.0,"78 West 168th Street, 10452, Bronx, New York, USA",1,3
