printedschoolname,coursepassrate,selectioncriteria3_prog1,revealed_prog1,mathprof,admissionsmethod_prog1,selectioncriteria3_prog2,accessibility
Wadleigh Secondary School for the Performing & Visual Arts,86.0,Final 4th Grade Report Card,.,0.0,Screened,,Partially Accessible
West Bronx Academy for the Future,90.0,,.,17.0,Limited Unscreened,,Fully Accessible
Mott Hall III,94.0,Attendance and Punctuality,.,44.0,Screened,,Not Accessible
Baychester Middle School,87.0,,.,8.0,Open,,Not Accessible
East-West School of International Studies,95.0,,.,77.0,Open,,Partially Accessible
J.H.S. 190 Russell Sage,96.0,,.,55.0,Open,,Fully Accessible
East Side Middle School,100.0,,.,92.0,Screened,,Fully Accessible
Amistad Dual Language School,86.0,Spanish Interview,.,20.0,Screened: Language,,Fully Accessible
Catherine & Count Basie Middle School 72,88.0,,.,8.0,Screened: Language,,Partially Accessible
J.H.S. 054 Booker T. Washington,99.0,Entrance Assessment,.,88.0,Screened,,Not Accessible
P.S. 211,86.0,,.,20.0,Open,.,Partially Accessible
School of Authors (P.S./M.S. 108 ),85.0,,.,8.0,Open,,Not Accessible
Columbia Secondary School,95.0,Final 4th Grade Report Card,.,85.0,Screened,.,Partially Accessible
J.H.S. 194 William Carr,94.0,,.,54.0,Open,,Not Accessible
The Bronx School of Young Leaders,82.0,,.,12.0,Open,,Fully Accessible
Professional Performing Arts School,100.0,Audition,.,89.0,Screened,,Not Accessible
M.S. 224 Manhattan East School for Arts & Academics,89.0,Attendance,.,37.0,Screened,,Not Accessible
Richard S. Grossley (J.H.S. 8),90.0,,.,19.0,Open,,Partially Accessible
Urban Assembly Academy for Future Leaders,77.0,,.,4.0,Limited Unscreened,.,Not Accessible
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",100.0,,.,58.0,Zoned,.,Fully Accessible
James Weldon Johnson,80.0,Attendance,.,15.0,Screened,,Not Accessible
