swimming_pool_location_of,retail_store_exterior_entrance,bank_branch_weekly_operating,swimming_pool_months_in_use,retail_store_worker_density,bank_branch_number_of_workers,total_count,total_amount
Not Available,Not Available,60,Not Available,Not Available,10,1,376326
Not Available,1,Not Available,Not Available,0.64,Not Available,1,143876
Not Available,1,Not Available,Not Available,5.13,Not Available,1,356686
Not Available,Not Available,68,Not Available,Not Available,2220,2,2225066
Not Available,1,Not Available,Not Available,0.27,Not Available,1,197645
Not Available,1,Not Available,Not Available,1.61,Not Available,1,102562
Not Available,1,Not Available,Not Available,Not Available,Not Available,4,230960
Not Available,1,Not Available,Not Available,1.17,Not Available,1,110900
Not Available,1,Not Available,Not Available,1,Not Available,2,212849
Not Available,1,Not Available,Not Available,0.72,Not Available,1,68781
Not Available,1,50,Not Available,1.18,36,1,1711084
Not Available,1,168,Not Available,3.28,0,1,1042298
Not Available,1,Not Available,Not Available,1.59,Not Available,1,1601977
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51,7343494
Not Available,1,Not Available,Not Available,1.14,Not Available,1,1071012
Not Available,1,Not Available,Not Available,1.21,Not Available,1,592677
