project_name,total_project_units
2040 MCGRAW AVE APARTMENTS,24
37-42 30TH STREET,63
CLAREMONT PARK APARTMENTS.YR15.FY25,98
UPS. 1806 ANTHONY AVE,111
1644 NEW YORK AVENUE,36
2769 CRESTON AVENUE,44
MORNINGSIDE HEIGHTS III. HPO.FY25,58
1305 SHAKESPEARE AVENUE,8
JERICHO HOUSE,56
22-25 NEW HAVEN AVENUE APARTMENTS,26
21-07 ASTORIA BLVD APARTMENTS,68
TIMPSON PLACE HDFC.GHPP.FY25,64
NEW PENN DEVELOPMENT,12
THE TRIO APARTMENTS,34
FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),36
130 EAST 165TH STREET APARTMENTS,75
153 EAST 51 STREET,9
SALEM HOUSE.YR15.FY25,48
B&R.YR15.FY25,17
23-10 42ND ROAD APARTMENTS,240
MASARYK TOWERS.HRP.FY25,219
CROTONA PARK WEST HDFC.HPO.FY24,179
GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,16
EASTCHESTER HEIGHTS HDFC.HPO.FY25,2952
131 CONCORD STREET APARTMENTS,73
633 EAST 230 STREET,25
180 PENNSYLVANIA AVE APARTMENTS,50
WEST FARMS.HUDMF.FY25,276
256 MT HOPE PLACE_HPS,42
NORTH SHORE PLAZA.YR15.FY25,1524
SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),8
