building_address_with_zip,t3_building_address_with_zip,latitude,longitude,t4_latitude,t4_longitude,total,count,average
"1633 BROADWAY, New York, NY 10019","1633 BROADWAY, New York, NY 10019",40.762107,-73.984702,40.762107,-73.984702,1633,1,1633.0
"1211 SIXTH AVENUE, New York, NY 10036","1211 SIXTH AVENUE, New York, NY 10036",40.758664,-73.982399,40.758664,-73.982399,1211,1,1211.0
"1133 SIXTH AVENUE, New York, NY 10036","1133 SIXTH AVENUE, New York, NY 10036",40.756057,-73.983866,40.756057,-73.983866,1133,1,1133.0
"733 PARK AVENUE, New York, NY 10021","733 PARK AVENUE, New York, NY 10021",40.770092,-73.964136,40.770092,-73.964136,733,1,733.0
"422 EAST 72 STREET, New York, NY 10021","422 EAST 72 STREET, New York, NY 10021",40.766853,-73.955026,40.766853,-73.955026,422,1,422.0
"401 EAST 34 STREET, New York, NY 10016","401 EAST 34 STREET, New York, NY 10016",40.743838,-73.972537,40.743838,-73.972537,401,1,401.0
"353 EAST 83 STREET, New York, NY 10028","353 EAST 83 STREET, New York, NY 10028",40.775349,-73.9509,40.775349,-73.9509,353,1,353.0
"300 EAST 62 STREET, New York, NY 10065","300 EAST 62 STREET, New York, NY 10065",40.762203,-73.96279,40.762203,-73.96279,300,1,300.0
"222 EAST 39 STREET, New York, NY 10016","222 EAST 39 STREET, New York, NY 10016",40.748203,-73.974848,40.748203,-73.974848,222,1,222.0
"212 EAST 47 STREET, New York, NY 10017","212 EAST 47 STREET, New York, NY 10017",40.753272,-73.971659,40.753272,-73.971659,212,1,212.0
"212 EAST 42 STREET, New York, NY 10017","212 EAST 42 STREET, New York, NY 10017",40.750107,-73.973982,40.750107,-73.973982,212,1,212.0
"201 WEST 70 STREET, New York, NY 10023","201 WEST 70 STREET, New York, NY 10023",40.777798,-73.982788,40.777798,-73.982788,201,1,201.0
"200 EAST 24 STREET, New York, NY 10010","200 EAST 24 STREET, New York, NY 10010",40.739149,-73.982513,40.739149,-73.982513,200,1,200.0
"175 EAST 96 STREET, New York, NY 10128","175 EAST 96 STREET, New York, NY 10128",40.785712,-73.949629,40.785712,-73.949629,175,1,175.0
"171 EAST 84 STREET, New York, NY 10028","171 EAST 84 STREET, New York, NY 10028",40.777876,-73.955231,40.777876,-73.955231,171,1,171.0
"141 EAST 48 STREET, New York, NY 10017","141 EAST 48 STREET, New York, NY 10017",40.755138,-73.972442,40.755138,-73.972442,141,1,141.0
"108 FIFTH AVENUE, New York, NY 10011","108 FIFTH AVENUE, New York, NY 10011",40.737289,-73.993043,40.737289,-73.993043,108,1,108.0
"1 PENNSYLVANIA PLAZA, New York, NY 10119","1 PENNSYLVANIA PLAZA, New York, NY 10119",40.751263,-73.992374,40.751263,-73.992374,1,1,1.0
