activated,provider,type,remarks,ntacode,category,count,avg_value,total_value,max_value
9999-09-09 00:00:00,AT&T,Free,,MN34,low coverage,1,9.0,9.0,9.0
2017-06-29 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",MN12,low coverage,1,6.0,6.0,6.0
9999-09-09 00:00:00,Harlem,Free,,MN11,low coverage,1,9.0,9.0,9.0
2018-05-02 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",BK32,medium coverage,1,38.0,38.0,38.0
9999-09-09 00:00:00,Manhattan Down Alliance,Free,,MN25,low coverage,1,1.0,1.0,1.0
9999-09-09 00:00:00,ALTICEUSA,Limited Free,3 free 10 min sessions,BK99,medium coverage,1,39.0,39.0,39.0
2017-10-16 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",MN40,low coverage,1,4.0,4.0,4.0
2016-09-06 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",MN24,low coverage,1,1.0,1.0,1.0
2016-05-17 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",MN21,low coverage,1,2.0,2.0,2.0
2017-06-09 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",BK90,medium coverage,1,34.0,34.0,34.0
2018-10-18 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",MN40,low coverage,1,4.0,4.0,4.0
9999-09-09 00:00:00,SPECTRUM,Limited Free,3 free 10 min sessions,QN54,medium coverage,1,28.0,28.0,28.0
2017-10-30 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",BK95,medium coverage,1,40.0,40.0,40.0
2016-10-25 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",MN09,low coverage,1,6.0,6.0,6.0
2016-09-06 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",MN09,low coverage,1,7.0,7.0,7.0
2016-07-21 00:00:00,LinkNYC - Citybridge,Free,"Tablet Internet -phone , Free 1 GB Wi-FI Service",MN19,low coverage,1,4.0,4.0,4.0
