job__,job__,bin__,bin__,sign_type,total_est_fee_sum
321609577,321609577,3327490,3327490,WALL,100.0
123179041,123179041,1035335,1035335,WALL,100.0
421552876,421552876,4169382,4169382,WALL,240.0
220614725,220614725,2057273,2057273,WALL,4200.0
421541317,421541317,4146186,4146186,WALL,4200.0
321631579,321631579,3424339,3424339,WALL,100.0
123188424,123188424,1089941,1089941,WALL,160.6
123290125,123290125,1016123,1016123,WALL,100.0
421542637,421542637,4114132,4114132,WALL,160.6
123109395,123109395,1032645,1032645,WALL,300.0
123335202,123335202,1087745,1087745,WALL,160.6
421541567,421541567,4184263,4184263,WALL,150.3
321649007,321649007,3247095,3247095,WALL,100.0
421554026,421554026,4223565,4223565,WALL,2800.0
121242048,121242048,1090374,1090374,WALL,100.0
123302853,123302853,1015266,1015266,WALL,300.6
421562632,421562632,4448939,4448939,WALL,2208.0
123122021,123122021,1085682,1085682,WALL,901.8
123351835,123351835,1057837,1057837,WALL,200.0
421554589,421554589,4433427,4433427,WALL,100.0
421542003,421542003,4113289,4113289,WALL,400.0
321604894,321604894,3078952,3078952,WALL,201.8
421552135,421552135,4449970,4449970,WALL,181.2
123079685,123079685,1088760,1088760,WALL,930.8
421466210,421466210,4116510,4116510,WALL,150.3
123119785,123119785,1013686,1013686,WALL,959.8
123334980,123334980,1088870,1088870,WALL,4200.0
123163913,123163913,1030741,1030741,WALL,240.0
421534673,421534673,4437222,4437222,WALL,300.0
123119758,123119758,1022646,1022646,WALL,240.0
123163254,123163254,1081009,1081009,WALL,2094.3
520309513,520309513,5164798,5164798,WALL,263.6
520309498,520309498,5155571,5155571,WALL,600.0
123163548,123163548,1087616,1087616,WALL,100.0
421560787,421560787,4208831,4208831,WALL,1400.0
123334944,123334944,1088870,1088870,WALL,4200.0
123353487,123353487,1088841,1088841,WALL,1260.0
421558665,421558665,4238738,4238738,WALL,300.6
321609648,321609648,3414141,3414141,WALL,800.0
421544911,421544911,4077915,4077915,WALL,160.6
123043688,123043688,1089782,1089782,WALL,397.5
520307971,520307971,5150289,5150289,WALL,150.3
123035919,123035919,1035053,1035053,WALL,600.0
321609559,321609559,3088276,3088276,WALL,600.0
421561937,421561937,4111794,4111794,WALL,2800.0
421559101,421559101,4440113,4440113,WALL,100.0
520309540,520309540,5162340,5162340,WALL,341.8
321567327,321567327,3128805,3128805,WALL,1000.0
321567292,321567292,3424727,3424727,WALL,200.0
123327337,123327337,1007605,1007605,WALL,200.0
