manhattan_condominium_property_address,manhattan_condominium_property_address,manhattan_condominium_property_boro_block_lot,manhattan_condominium_property_boro_block_lot,borough,postcode,total_est_gross_income
311 GREENWICH STREET,311 GREENWICH STREET,1-00140-7502,1-00140-7502,1,10013.0,2662040
320 EAST 54 STREET,320 EAST 54 STREET,1-01346-7501,1-01346-7501,1,10022.0,1980000
315 7 AVENUE,315 7 AVENUE,1-00803-7501,1-00803-7501,1,10001.0,4060000
117 EAST 57 STREET,117 EAST 57 STREET,1-01312-7501,1-01312-7501,1,10022.0,16054368
381 2 AVENUE,381 2 AVENUE,1-00903-7502,1-00903-7502,1,10010.0,11237765
30 WEST STREET,30 WEST STREET,1-00016-7514,1-00016-7514,1,10004.0,18568432
236 EAST 47 STREET,236 EAST 47 STREET,1-01320-7505,1-01320-7505,1,10017.0,7580000
845 UNITED NATIONS PLAZA,845 UNITED NATIONS PLAZA,1-01340-7501,1-01340-7501,1,10017.0,51500000
205 BLEECKER STREET,205 BLEECKER STREET,1-00542-7501,1-00542-7501,1,10012.0,477273
67 HUDSON STREET,67 HUDSON STREET,1-00180-7502,1-00180-7502,1,10013.0,612125
148 MADISON STREET,148 MADISON STREET,1-00274-7502,1-00274-7502,1,10002.0,1984212
130 WEST 79 STREET,130 WEST 79 STREET,1-01150-7503,1-01150-7503,1,10024.0,2592550
650 6 AVENUE,650 6 AVENUE,1-00821-7503,1-00821-7503,1,10011.0,4085000
82 BEAVER STREET,82 BEAVER STREET,1-00028-7501,1-00028-7501,1,10005.0,3876080
211 EAST 46 STREET,211 EAST 46 STREET,1-01320-7506,1-01320-7506,1,10017.0,8450000
55 EAST 93 STREET,55 EAST 93 STREET,1-01505-7501,1-01505-7501,1,10128.0,845000
1965 BROADWAY,1965 BROADWAY,1-01138-7502,1-01138-7502,1,10023.0,14113000
201 EAST 36 STREET,201 EAST 36 STREET,1-00917-7501,1-00917-7501,1,10016.0,4319140
715 9 AVENUE,715 9 AVENUE,1-01058-7501,1-01058-7501,1,10019.0,218736
1356 1 AVENUE,1356 1 AVENUE,1-01467-7501,1-01467-7501,1,10021.0,700000
312 EAST 23 STREET,312 EAST 23 STREET,1-00928-7502,1-00928-7502,1,10010.0,3539304
80 COLUMBUS CIRCLE,80 COLUMBUS CIRCLE,1-01049-7501,1-01049-7501,1,10023.0,13291717
53 WEST 11 STREET,53 WEST 11 STREET,1-00575-7501,1-00575-7501,1,10011.0,253260
120 RIVERSIDE BOULEVARD,120 RIVERSIDE BOULEVARD,1-01171-7504,1-01171-7504,1,10069.0,11835135
340 EAST 23 STREET,340 EAST 23 STREET,1-00928-7503,1-00928-7503,1,10010.0,10518480
157 CHAMBERS STREET,157 CHAMBERS STREET,1-00140-7505,1-00140-7505,1,10007.0,3144024
330 EAST 57 STREET,330 EAST 57 STREET,1-01349-7502,1-01349-7502,1,10022.0,2300000
31 WEST 11 STREET,31 WEST 11 STREET,1-00575-7502,1-00575-7502,1,10011.0,852950
306 WEST 48 STREET,306 WEST 48 STREET,1-01038-7501,1-01038-7501,1,10036.0,5409959
125 WEST 22 STREET,125 WEST 22 STREET,1-00798-7505,1-00798-7505,1,10011.0,2900000
220 WEST BROADWAY,220 WEST BROADWAY,1-00189-7501,1-00189-7501,1,10013.0,1423845
309 EAST 49 STREET,309 EAST 49 STREET,1-01342-7501,1-01342-7501,1,10017.0,5260000
71 NASSAU STREET,71 NASSAU STREET,1-00079-7503,1-00079-7503,1,10038.0,2500000
1031 6 AVENUE,1031 6 AVENUE,1-00814-7501,1-00814-7501,1,10018.0,4500000
100 WEST 89 STREET,100 WEST 89 STREET,1-01219-7501,1-01219-7501,1,10024.0,6092940
145 EAST 76 STREET,145 EAST 76 STREET,1-01411-7501,1-01411-7501,1,10021.0,3200000
203 EAST 16 STREET,203 EAST 16 STREET,1-00897-7501,1-00897-7501,1,10003.0,1840896
142 HENRY STREET,142 HENRY STREET,1-00273-7501,1-00273-7501,1,10002.0,509522
120 WEST 58 STREET,120 WEST 58 STREET,1-01010-7502,1-01010-7502,1,10019.0,983880
330 SPRING STREET,330 SPRING STREET,1-00595-7504,1-00595-7504,1,10013.0,3030060
2120 BROADWAY,2120 BROADWAY,1-01166-7501,1-01166-7501,1,10023.0,1759200
200 RECTOR PLACE,200 RECTOR PLACE,1-00016-7508,1-00016-7508,1,10280.0,23448960
20 EAST 68 STREET,20 EAST 68 STREET,1-01382-7501,1-01382-7501,1,10065.0,3450000
211 ELIZABETH STREET,211 ELIZABETH STREET,1-00493-7501,1-00493-7501,1,10012.0,0
5 EAST 22 STREET,5 EAST 22 STREET,1-00851-7501,1-00851-7501,1,10010.0,15978816
225 EAST 57 STREET,225 EAST 57 STREET,1-01331-7502,1-01331-7502,1,10022.0,9450000
180 WEST END AVENUE,180 WEST END AVENUE,1-01158-7502,1-01158-7502,1,10023.0,13811504
420 WEST 23 STREET,420 WEST 23 STREET,1-00720-7501,1-00720-7501,1,10011.0,1422378
70 BATTERY PLACE,70 BATTERY PLACE,1-00016-7517,1-00016-7517,1,10280.0,21908850
