school_name,total_attendance_rate,fax_number,code1,code1
Urban Assembly School for the Performing Arts,0.810000002,212-234-4975,M04A,M04A
Benjamin N. Cardozo High School,0.930000007,718-631-7880,Q16A,Q16A
The School for Human Rights,0.910000026,718-771-4815,K04X,K04X
"Clinton School Writers & Artists, M.S. 260",0.970000029,212-524-4365,M64A,M64A
Bronx Theatre High School,0.810000002,718-329-0433,X38A,X38A
The Metropolitan Soundview High School,0.790000021,718-860-8232,Y55A,Y55A
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",0.910000026,718-472-9117,Q31J,Q31J
Leadership Institute,0.75,718-299-7496,X06R,X06R
Pan American International High School,0.899999976,718-271-4041,Q03A,Q03A
Humanities Preparatory Academy,0.850000024,212-929-4445,M99A,M99A
Lower Manhattan Arts Academy,0.899999976,212-674-8021,M05R,M05R
World View High School,0.899999976,718-601-0821,X89A,X89A
Hillcrest High School,0.899999976,718-739-5137,Q24A,Q24A
Middle College High School at LaGuardia Community College,0.930000007,718-392-3315,Q30J,Q30J
South Bronx Preparatory: A College Board School,0.899999976,718-292-2172,X11X,X11X
Staten Island Technical High School,1.940000058,718-987-5872,NO CODE,NO CODE
"The School for Classics: An Academy of Thinkers, Writers and Performers",0.839999974,718-277-1873,L53A,L53A
Frank McCourt High School,0.939999998,212-362-5926,A21A,A21A
High School for Energy and Technology,0.860000014,718-733-3085,Y65A,Y65A
"Metropolitan High School, The",0.829999983,718-542-7294,X77R,X77R
Pathways College Preparatory School: A College Board School,0.910000026,718-454-4892,Q09A,Q09A
CSI High School for International Studies,0.949999988,718-370-6915,R01R,R01R
