fact_column,total_dimension1,average_dimension2,admissions_telephone,data_telephone
English as a New Language;Transitional Bilingual Education: Spanish,,84.0,718-432-4300,718-432-4300
English as a New Language,,96.0,718-515-6780,718-515-6780
English as a New Language,,93.0,212-860-6047,212-860-6047
English as a New Language,,81.0,718-382-2100,718-382-2100
English as a New Language,,100.0,212-595-7193,212-595-7193
English as a New Language;Transitional Bilingual Education: Spanish,,65.0,917-521-2220,917-521-2220
English as a New Language,,98.0,212-678-2861,212-678-2861
English as a New Language;Dual Language: Spanish,,95.0,718-834-6734,718-834-6734
English as a New Language,,95.0,718-515-0410,718-515-0410
English as a New Language,,76.0,718-583-6266,718-583-6266
English as a New Language;Transitional Bilingual Education: Spanish,,94.0,718-796-9200,718-796-9200
English as a New Language,,93.0,718-647-0913,718-647-0913
English as a New Language,,97.0,718-829-6372,718-829-6372
English as a New Language;Dual Language: Spanish;Dual Language: Haitian Creole;Transitional Bilingual Education: Spanish;Transitional Bilingual Education: Haitian Creole,,83.0,718-756-0210,718-756-0210
English as a New Language,,81.0,718-495-7776,718-495-7776
English as a New Language,,98.0,718-257-4061,718-257-4061
English as a New Language;Dual Language: Spanish,,99.0,718-339-4355,718-339-4355
English as a New Language,,82.0,718-782-0918,718-782-0918
English as a New Language,,92.0,718-474-8615,718-474-8615
English as a New Language,,66.0,718-345-5190,718-345-5190
English as a New Language,,92.0,718-773-3059,718-773-3059
English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,,92.0,718-760-3233,718-760-3233
English as a New Language,,,718-588-0341,718-588-0341
