queens_cooperatives_comparable_properties_address,queens_cooperatives_comparable_properties_market_value_per_sqft,nta,queens_cooperatives_comparable_properties_year_built,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_building_classification,row_num
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.3,Elmhurst                                                                   ,1959,12.6,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 40 211 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",58.0,Ft. Totten-Bay Terrace-Clearview                                           ,1961,14.57,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 04 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",58.0,Ft. Totten-Bay Terrace-Clearview                                           ,1957,14.52,C6-WALK-UP,2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 24 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",50.0,North Corona                                                               ,1953,13.3,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 16 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",55.0,Rego Park                                                                  ,1963,14.0,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 05 60 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.0,Rego Park                                                                  ,1964,14.0,D4-ELEVATOR,2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 33 251 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",42.3,Douglas Manor-Douglaston-Little Neck                                       ,1952,12.0,C6-WALK-UP,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""241 20 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",41.4,Douglas Manor-Douglaston-Little Neck                                       ,1964,11.75,D4-ELEVATOR,2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 11 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.8,Kew Gardens                                                                ,1928,11.0,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 20 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",54.0,Briarwood-Jamaica Hills                                                    ,1955,13.7,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 01 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",40.5,Whitestone                                                                 ,1958,11.5,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 10 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",66.0,Forest Hills                                                               ,1950,16.2,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",63.0,Forest Hills                                                               ,1962,15.4,D4-ELEVATOR,2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 36 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",62.0,Forest Hills                                                               ,1949,15.25,D4-ELEVATOR,3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 05 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",65.0,Hunters Point-Sunnyside-West Maspeth                                       ,1932,16.0,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 05 48 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.0,Hunters Point-Sunnyside-West Maspeth                                       ,1942,15.0,D4-ELEVATOR,2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",41.6,Jamaica                                                                    ,1962,11.8,D4-ELEVATOR,1
