funding_category,project_name,date_funds_awarded_by_fed_state,interim_spending_deadline,category,count,avg_value,total_value,max_value
Economic and Workforce Development,Summer Youth Employment Program (SYEP),2009-03-23 00:00:00,2010-06-30 00:00:00,small,7,6816.147142857144,47713.030000000006,24224.3
Economic and Workforce Development,"Go to School, Get a Job",2009-03-23 00:00:00,2010-06-30 00:00:00,small,1,2198.2,2198.2,2198.2
Education,Teacher Center,2009-06-19 00:00:00,,small,2,6412.69,12825.38,6412.69
Education,Education Services for Economically Disadvantaged Students,2009-04-01 00:00:00,,small,1541,399.5658728098719,615731.0100000126,8364.36
Infrastructure,Expansion of Elevator Remote Monitoring System at Various Locations,2009-03-18 00:00:00,2011-03-17 00:00:00,small,1,12348.0,12348.0,12348.0
Health and Social Support,Adult Literacy Employment Program,2009-04-01 00:00:00,2010-09-30 00:00:00,small,1,10200.0,10200.0,10200.0
Neighborhood Stabilization,Emergency Repair Program: Repairs,2009-08-10 00:00:00,,small,1,8650.0,8650.0,8650.0
Education,Education Services for Special Needs Students,2009-04-01 00:00:00,,small,2197,407.07499317252933,894343.7600000469,3571.33
Infrastructure,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,2011-03-17 00:00:00,small,388,29003.59917525758,11253396.47999994,34715.34
Infrastructure,Leavitt Houses - Roofing Replacement,2009-03-18 00:00:00,2011-03-17 00:00:00,small,1,34010.0,34010.0,34010.0
Health and Social Support,Congregate Meals for the Elderly,2009-06-10 00:00:00,,small,3,8081.7,24245.1,8081.7
Economic and Workforce Development,Beacon Community Centers,2009-04-01 00:00:00,2010-06-30 00:00:00,small,1,24224.3,24224.3,24224.3
Education,Education Services for Special Needs Students - Pre-School,2009-04-01 00:00:00,,small,1,8364.36,8364.36,8364.36
