school_type2,se_services,total,average,count
All-Girls School,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1.0,1
,This school will provide students with disabilities the supports and services indicated on their IEPs.,38,2.533333333333333,15
CTE School,This school will provide students with disabilities the supports and services indicated on their IEPs.,7,3.5,2
International School,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1.0,1
"CTE, New School",This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1.0,1
CTE School,This school will provide students with disabilities the supports and services indicated on their IEPs,1,1.0,1
