dbn,school_name,total_students,psal_sports_coed,online_ap_courses,number_programs,rank,dense_rank
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,2730.0,,,6,1,1
09X543,High School for Violin and Dance,378.0,,,1,1,1
14K474,PROGRESS High School for Professional Careers,1083.0,Baseball,"Art History, Biology, English Language and Composition, Spanish Language and Culture, United States History",4,1,1
05M670,Thurgood Marshall Academy for Learning and Social Change,572.0,,,1,1,1
08X405,Herbert H. Lehman High School.,2059.0,"Cricket, Golf, Swimming, Wrestling",,3,1,1
12X511,Bronx Envision Academy,239.0,,,1,1,1
29Q243,Institute for Health Professions at Cambria Heights,82.0,,,1,1,1
14K488,Brooklyn Preparatory High School,489.0,Double Dutch,,1,1,1
07X527,Bronx Leadership Academy II High School,515.0,"Cross Country, Indoor Track",,1,1,1
26Q430,Francis Lewis High School,4058.0,,,5,1,1
09X263,Validus Preparatory Academy: An Expeditionary Learning School,374.0,Cross Country,,1,1,1
03M479,Beacon High School,1276.0,,,1,1,1
19K639,Brooklyn Lab School,364.0,"Cross Country, Indoor Track, Outdoor Track, Swimming","Biology, Calculus AB, English Literature and Composition, United States History",1,1,1
23K514,Frederick Douglass Academy VII High School,328.0,Double Dutch,,1,1,1
07X473,Mott Haven Village Preparatory High School,344.0,"Bowling, Handball, Tennis",,1,1,1
26Q435,Martin Van Buren High School,2096.0,,,5,1,1
02M580,Richard R. Green High School of Teaching,593.0,,,2,1,1
08X320,Pelham Lab High School,95.0,"Cricket, Golf, Swimming, Wrestling",,1,1,1
17K543,"Science, Technology and Research Early College High School at Erasmus",532.0,,,1,1,1
