bin,proposed_height,bin,total_initial_cost
3049850,,3049850,7000.0
1035071,,1035071,101372.6
4624969,32.0,4624969,0.0
1091742,92.0,1091742,203626.0
1087142,,1087142,14700.0
1033197,,1033197,100000.0
2077929,26.0,2077929,10000.0
1014262,,1014262,200.0
2022550,,2022550,999758.48
4623682,207.0,4623682,1000.0
4087555,30.0,4087555,1000.0
3022472,,3022472,500.0
3404524,,3404524,10000.0
1035741,,1035741,1.0
3429687,,3429687,0.0
1015680,,1015680,0.0
2002572,,2002572,150000.0
4050630,,4050630,162500.0
1090681,,1090681,110000.0
1041224,,1041224,1000.0
2129590,,2129590,10000.0
1007573,132.0,1007573,20000.0
3425954,,3425954,100.0
1011843,,1011843,18000.0
3020427,,3020427,95000.0
1031957,,1031957,30000.0
4617247,,4617247,1150.0
3340150,,3340150,20000.0
5025251,,5025251,12000.0
3342331,,3342331,114876.0
1076258,,1076258,77700.0
3329628,,3329628,1800.0
2012452,,2012452,6000.0
4208839,,4208839,5000.0
3324292,140.0,3324292,1574865.0
5053638,13.0,5053638,50000.0
1009861,,1009861,6000.0
1034248,,1034248,8000.0
1033968,,1033968,7700.0
1057284,80.0,1057284,5000.0
3418229,,3418229,37500.0
2128608,133.0,2128608,216750.0
1085962,522.0,1085962,70000.0
3179500,23.0,3179500,6000.0
3426514,,3426514,32500.0
3117411,,3117411,10000.0
4238813,,4238813,5250.0
3418117,,3418117,4000.0
4570298,75.0,4570298,158730.0
1017206,,1017206,68250.0
