queens_condominium_property_condo_section,queens_condominium_property_address,queens_condominium_property_neighborhood,queens_condominium_property_market_value_per_sqft,queens_condominium_property_year_built,queens_condominium_property_est_gross_income,queens_condominium_property_gross_income_per_sqft
533-R1,27-16 41 AVENUE,LONG ISLAND CITY,104.0,2005,648450,25.0
469-R1,104-19 39 AVENUE,CORONA,91.0,2005,294000,21.0
279-R1,41-14 68 STREET,WOODSIDE,65.0,1986,273577,17.5
292-R1,78-10 153 AVENUE,HOWARD BEACH,49.0,1977,759800,14.5
56-R1,65-36 WETHEROLE STREET,REGO PARK,43.6,1941,928536,14.0
534-R1,14-34 110 STREET,COLLEGE POINT,87.0,2002,633885,21.0
398-R1,139-87 35 AVENUE,FLUSHING-NORTH,75.0,1997,324896,20.1
164-R1,133-36 41 ROAD,FLUSHING-NORTH,71.0,1987,1373700,19.0
42-R1,144-77 ROOSEVELT AVENUE,FLUSHING-NORTH,67.0,1983,1829232,18.0
49-R2,175-32 56 AVENUE,FLUSHING-NORTH,51.0,1982,702000,15.0
199-R1,36-20 168 STREET,FLUSHING-NORTH,49.1,1937,1232500,14.5
215-R1,85-15 MAIN STREET,BRIARWOOD,63.0,1966,3288946,16.75
251-R1,135-08 82 AVENUE,BRIARWOOD,51.0,1990,285000,15.0
281-R1,42-15 81 STREET,ELMHURST,67.0,1989,2357640,18.0
211-R1,41-28 71 STREET,ELMHURST,43.6,1988,177548,14.0
129-R3,94-31 60 AVENUE,ELMHURST,42.0,1961,4080186,13.5
