bin,initial_cost,filing_representative_first_name,owner_s_business_name,total_construction_floor_area,signoff_date,in_compliance_with_nycecc,rank,dense_rank
3117411,10000.0,JOEL,PITKIN GROUP LLC,756.0,2025-12-15 00:00:00,False,1,1
4623682,1000.0,JOEL,DAVIS STREET DEVELOPMENT LLC,123325.0,,False,1,1
3329628,1800.0,HELEN,ACP BK1 LLC,111.0,,True,1,1
3426514,32500.0,JOEL,PROACTIVE BUILDING SOLUTIONS,1484.0,,False,1,1
4617247,1150.0,MATTHEW,PR,23.0,2019-09-10 00:00:00,False,1,1
4624969,0.0,JOEL,KBY BUILDING,10964.0,,False,1,1
1035071,101372.6,PANAJOT,SECOND AVE SOLOW DEV CORP,7030.0,2025-01-13 00:00:00,False,1,1
1035741,1.0,WILLIAM,SPRING SCAFFOLDING LLC,91210.0,2023-12-29 00:00:00,False,1,1
2022550,999758.48,RODOLFO,NYC SCA,77621.0,,False,1,1
3179500,6000.0,,TOMASHOVER CONG,1500.0,2024-01-23 00:00:00,False,1,1
4570298,158730.0,,PI CAPITAL,2886.0,,False,1,1
1057284,5000.0,MUHAMMAD,TRIARCH MANAGEMENT INC,100.0,,True,1,1
1007573,20000.0,ARIEL,PRINCE TOWER TENANTS CORP,1000.0,,False,1,1
1091742,203626.0,,,1921.0,,False,1,1
3340150,20000.0,,MARTAN MANAGEMENT LLC,356.0,2024-01-05 00:00:00,False,1,1
3418117,4000.0,JAFAR,HKS CONSTRUCTION CORP,0.0,2024-02-23 00:00:00,False,1,1
4087555,1000.0,QIUYUAN,FOREVER TEA INC,1110.0,2023-01-26 00:00:00,False,1,1
1090681,110000.0,SUNITA,PR,1095.0,2023-02-17 00:00:00,False,1,1
3020427,95000.0,EARL,PR,360.0,,False,1,1
4050630,162500.0,KATHERINE,HOLDINGS LLC,22728.0,,True,1,1
3425954,100.0,STEVEN,BEDFORD ENTERPRISES,4.0,2023-04-27 00:00:00,False,1,1
2002572,150000.0,SHMUEL,CAPSTONE PROPERTY CARE,10465.0,2024-06-24 00:00:00,True,1,1
3404524,10000.0,MOSES,PARK,320.0,2024-03-14 00:00:00,False,1,1
2129590,10000.0,John,RIVERSPRING HEBREW HOME AT RIVERDAL,10000.0,,False,1,1
4208839,5000.0,TANUPREET,BK CONSTRUCTIONDBA SRT CONSTRUCTION,1.0,2024-10-25 00:00:00,False,1,1
1014262,200.0,MATTHEW,W28th Development LLC,8.0,,False,1,1
3022472,500.0,WINSTON,A,288.0,,False,1,1
1011843,9000.0,,PR,200.0,,False,1,1
1011843,9000.0,,PR,200.0,,False,1,1
1041224,1000.0,,PHOENIX SUTTON STR INC,3500.0,2020-10-07 00:00:00,False,1,1
1015680,0.0,ROBERT,SAVANNA,,,False,1,1
1085962,70000.0,MARTIN,SILVERSTEIN PROPERTIES INC.,7500.0,2022-05-02 00:00:00,True,1,1
1033197,100000.0,SUNITA,"169 CH9 OWNER, LLC",2617.0,2023-09-11 00:00:00,False,1,1
3049850,7000.0,KHEMRAJ,701 LAFAYETTE AVE LLC.,0.0,2020-10-16 00:00:00,False,1,1
2128608,216750.0,JULIAN,PR,1445.0,,False,1,1
2077929,10000.0,SHAVONN,UNIVERSAL DESIGN & CONSTR MGMT,139.0,,False,1,1
1033968,7700.0,KATHERINE,"203 WEST 90TH STREET RETAIL, LLC",685.0,,False,1,1
1076258,38850.0,MU/RO/BR/SE,,3186.0,2019-06-03 00:00:00,False,1,1
1034248,4000.0,JOHN,JORGE MOLINA,0.0,2019-06-03 00:00:00,False,3,1
1076258,38850.0,MU/RO/BR/SE,,3186.0,,True,1,2
1034248,4000.0,JOHN,JORGE MOLINA,0.0,,True,3,2
3342331,57438.0,AJ,PR,,2024-04-11 00:00:00,False,1,1
3342331,57438.0,AJ,PR,,,False,1,2
1031957,30000.0,,GUIDANCE REALTY CORPORATION,500.0,2023-09-18 00:00:00,False,1,1
5053638,50000.0,ZHEN RONG,BASIC GROUPS CORP,1000.0,,False,1,1
3418229,37500.0,,PR,1800.0,2025-01-28 00:00:00,False,1,1
3324292,1574865.0,BERNARD,NEW YORK CITY HOUSING AUTHORITY,78276.0,2025-03-18 00:00:00,True,1,1
1087142,14700.0,MARTIN,TISHMAN REAL ESTATE MANAGEMENT,1550.0,,False,1,1
5025251,12000.0,,PR,496.0,,True,1,1
2012452,6000.0,,PR,250.0,2022-12-27 00:00:00,True,1,1
3429687,0.0,SUNITA,,,,False,1,1
1009861,6000.0,STACEY,GROVE PAD TRUST,285.0,,False,1,1
4238813,5250.0,,PR,1300.0,,False,1,1
1017206,68250.0,JULIAN,NMC PROPERTY MANAGEMENT,180.0,,False,1,1
