job_filing_number,floor_name,total,count,average
B00006279-P2,,16770.0,146,114.86301369863014
M00056524-I1-EL,,16770.0,146,114.86301369863014
X00066440-I1-EL,,16770.0,146,114.86301369863014
B00113302-I1-EL,,16770.0,146,114.86301369863014
S00030450-I1-EL,,16770.0,146,114.86301369863014
M00102760-I1-EL,,16770.0,146,114.86301369863014
M00129674-I1-EL,,16770.0,146,114.86301369863014
M00048916-I1-EL,,16770.0,146,114.86301369863014
X00038684-I1-EL,,16770.0,146,114.86301369863014
Q00011903-I1-EL,,16770.0,146,114.86301369863014
M00057830-P2,,16770.0,146,114.86301369863014
B00021609-I1-EL,,16770.0,146,114.86301369863014
X00071214-I1-EL,,16770.0,146,114.86301369863014
Q00031510-I1-EL,,16770.0,146,114.86301369863014
M00017097-I1-EL,,16770.0,146,114.86301369863014
M00086802-I1-EL,,16770.0,146,114.86301369863014
X00005975-I1-EL,,16770.0,146,114.86301369863014
X00099962-I1-EL,,16770.0,146,114.86301369863014
Q00110910-I1-EL,,16770.0,146,114.86301369863014
Q00154457-I1-EL,,16770.0,146,114.86301369863014
B00140882-I1-EL,,16770.0,146,114.86301369863014
Q00062773-I1-EL,,16770.0,146,114.86301369863014
M00021133-I1-EL,,16770.0,146,114.86301369863014
S00013685-I1-EL,,16770.0,146,114.86301369863014
B00057237-I1-EL,,16770.0,146,114.86301369863014
M00028669-I1-EL,,16770.0,146,114.86301369863014
Q00139707-I1-EL,,16770.0,146,114.86301369863014
B00070958-I1-EL,,16770.0,146,114.86301369863014
B00020834-P1,,16770.0,146,114.86301369863014
X00080477-I1-EL,,16770.0,146,114.86301369863014
M00066228-I1-EL,,16770.0,146,114.86301369863014
Q00102407-I1-EL,,16770.0,146,114.86301369863014
Q00109399-I1-EL,,16770.0,146,114.86301369863014
M00049832-I1-EL,Floor Number(s),3742.0,4,935.5
M00149313-I1-EL,Floor Number(s),124.25,1,124.25
B00021428-I1-EL,Floor Number(s),121.0,2,60.5
Q00095186-I1-EL,Basement,62.75,1,62.75
Q00084789-I1-EL,Floor Number(s),51.25,1,51.25
Q00148178-I1-EL,Sub-Cellar #2,42.25,1,42.25
Q00094590-I1-EL,Attic,40.0,1,40.0
B00022415-P1,Penthouse,39.25,1,39.25
M00151878-I1-EL,Floor Number(s),36.5,1,36.5
S00111165-I1-EL,Floor Number(s),36.0,2,18.0
Q00148726-I1-EL,Basement,24.5,1,24.5
X00120385-I1-EL,Floor Number(s),23.25,1,23.25
M00110249-I1-EL,Floor Number(s),14.0,2,7.0
M00037236-I1-EL,Floor Number(s),11.75,1,11.75
Q00024949-I1-EL,Basement,7.25,1,7.25
Q00023122-S1-EL,Basement,5.0,1,5.0
M00010953-P1,Ground Floor,2.0,1,2.0
