brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,brooklyn_cooperatives_comparable_properties_full_market_value,brooklyn_cooperatives_comparable_properties_expense_per_sqft,total_estimated_gross_income
3-00235-0028,"{'latitude': '40.697783609831', 'longitude': '-73.99558124181', 'human_address': '{""address"": ""115 WILLOW STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-00235-0028,"{'latitude': '40.697783609831', 'longitude': '-73.99558124181', 'human_address': '{""address"": ""115 WILLOW STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3397000,8.41,884844
3-00242-0012,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""103 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-00242-0012,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""103 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3534000,11.33,924426
3-07441-0231,"{'latitude': '40.578508345427', 'longitude': '-73.988412435558', 'human_address': '{""address"": ""2600 21 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-07441-0231,"{'latitude': '40.578508345427', 'longitude': '-73.988412435558', 'human_address': '{""address"": ""2600 21 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",2025000,4.75,576484
3-00993-0031,"{'latitude': '40.671264083884', 'longitude': '-73.985427409407', 'human_address': '{""address"": ""322 6 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-00993-0031,"{'latitude': '40.671264083884', 'longitude': '-73.985427409407', 'human_address': '{""address"": ""322 6 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1270000,5.41,282105
3-00231-0030,"{'latitude': '40.698371498488', 'longitude': '-73.993813628665', 'human_address': '{""address"": ""60 PINEAPPLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-00231-0030,"{'latitude': '40.698371498488', 'longitude': '-73.993813628665', 'human_address': '{""address"": ""60 PINEAPPLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",5017000,9.14,1778475
3-01169-0024,"{'latitude': '40.674485498167', 'longitude': '-73.971414746871', 'human_address': '{""address"": ""20 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-01169-0024,"{'latitude': '40.674485498167', 'longitude': '-73.971414746871', 'human_address': '{""address"": ""20 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",6751000,7.62,2048469
3-01173-0040,"{'latitude': '40.674728060228', 'longitude': '-73.964066308496', 'human_address': '{""address"": ""430 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-01173-0040,"{'latitude': '40.674728060228', 'longitude': '-73.964066308496', 'human_address': '{""address"": ""430 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1147000,7.14,266100
3-05233-0001,"{'latitude': '40.634295701325', 'longitude': '-73.965801778011', 'human_address': '{""address"": ""1212 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-05233-0001,"{'latitude': '40.634295701325', 'longitude': '-73.965801778011', 'human_address': '{""address"": ""1212 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1342000,6.58,784428
3-06888-0006,"{'latitude': '40.595909433594', 'longitude': '-73.996405288616', 'human_address': '{""address"": ""8835 23 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-06888-0006,"{'latitude': '40.595909433594', 'longitude': '-73.996405288616', 'human_address': '{""address"": ""8835 23 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",2633000,6.35,655452
3-05356-0042,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""403 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-05356-0042,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""403 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1558000,5.84,597848
3-01152-0071,"{'latitude': '40.677304523876', 'longitude': '-73.967033755846', 'human_address': '{""address"": ""285 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-01152-0071,"{'latitude': '40.677304523876', 'longitude': '-73.967033755846', 'human_address': '{""address"": ""285 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",2074000,8.6,452320
3-03633-0001,"{'latitude': '40.654560763331', 'longitude': '-73.909356381919', 'human_address': '{""address"": ""1371 LINDEN BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-03633-0001,"{'latitude': '40.654560763331', 'longitude': '-73.909356381919', 'human_address': '{""address"": ""1371 LINDEN BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",6033000,4.74,2906010
3-05257-0035,"{'latitude': '40.657056768677', 'longitude': '-73.975254183311', 'human_address': '{""address"": ""310 WINDSOR PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-05257-0035,"{'latitude': '40.657056768677', 'longitude': '-73.975254183311', 'human_address': '{""address"": ""310 WINDSOR PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",439000,4.14,202824
3-08669-0073,"{'latitude': '40.577109737578', 'longitude': '-73.968021840707', 'human_address': '{""address"": ""3039 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-08669-0073,"{'latitude': '40.577109737578', 'longitude': '-73.968021840707', 'human_address': '{""address"": ""3039 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1186000,5.45,341475
3-00234-0019,"{'latitude': '40.697118623176', 'longitude': '-73.996866484155', 'human_address': '{""address"": ""177 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-00234-0019,"{'latitude': '40.697118623176', 'longitude': '-73.996866484155', 'human_address': '{""address"": ""177 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1265000,9.98,334263
3-00254-0001,"{'latitude': '40.693117673014', 'longitude': '-73.993010441502', 'human_address': '{""address"": ""114 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-00254-0001,"{'latitude': '40.693117673014', 'longitude': '-73.993010441502', 'human_address': '{""address"": ""114 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",2882000,8.51,822678
3-00733-0025,"{'latitude': '40.644358272373', 'longitude': '-73.998555503322', 'human_address': '{""address"": ""848 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-00733-0025,"{'latitude': '40.644358272373', 'longitude': '-73.998555503322', 'human_address': '{""address"": ""848 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",2140000,7.69,598706
3-07579-0029,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3310 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-07579-0029,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3310 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",9073000,6.6,3359376
3-05657-0035,"{'latitude': '40.631250376023', 'longitude': '-73.988912455102', 'human_address': '{""address"": ""5100 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-05657-0035,"{'latitude': '40.631250376023', 'longitude': '-73.988912455102', 'human_address': '{""address"": ""5100 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3744000,6.46,1349568
3-02061-0040,"{'latitude': '40.69212888201', 'longitude': '-73.979054512296', 'human_address': '{""address"": ""122 ASHLAND PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-02061-0040,"{'latitude': '40.69212888201', 'longitude': '-73.979054512296', 'human_address': '{""address"": ""122 ASHLAND PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",6343000,5.42,2041817
3-07559-0023,"{'latitude': '40.633077220325', 'longitude': '-73.946665857988', 'human_address': '{""address"": ""745 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-07559-0023,"{'latitude': '40.633077220325', 'longitude': '-73.946665857988', 'human_address': '{""address"": ""745 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",4301000,5.89,1137672
3-03367-0056,"{'latitude': '40.689515855583', 'longitude': '-73.917400167813', 'human_address': '{""address"": ""1149 PUTNAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-03367-0056,"{'latitude': '40.689515855583', 'longitude': '-73.917400167813', 'human_address': '{""address"": ""1149 PUTNAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1030000,6.0,381960
3-07397-0085,"{'latitude': '40.59419299503', 'longitude': '-73.958305402699', 'human_address': '{""address"": ""1200 GRAVESEND NECK ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-07397-0085,"{'latitude': '40.59419299503', 'longitude': '-73.958305402699', 'human_address': '{""address"": ""1200 GRAVESEND NECK ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3758000,5.94,991354
3-00385-0060,"{'latitude': '40.68576076322', 'longitude': '-73.98999898871', 'human_address': '{""address"": ""95 WYCKOFF STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-00385-0060,"{'latitude': '40.68576076322', 'longitude': '-73.98999898871', 'human_address': '{""address"": ""95 WYCKOFF STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",788000,9.65,194697
3-06286-0043,"{'latitude': '40.607821130007', 'longitude': '-73.995883226407', 'human_address': '{""address"": ""1973 81 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3-06286-0043,"{'latitude': '40.607821130007', 'longitude': '-73.995883226407', 'human_address': '{""address"": ""1973 81 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1428000,5.5,493440
