issuer_code,total_vehicle_years
359601,6045
364914,0
350408,0
363054,6030
362270,4026
357738,2006
351969,4012
594617,2015
330766,6009
949519,2006
355162,2001
365361,10050
363466,1999
359628,8064
355537,4032
361290,0
957457,0
361283,8060
0,506856
346109,2015
363049,4024
364935,2012
353494,2016
363072,2016
361312,2004
355558,6045
340127,0
361096,20050
355551,2014
921824,2005
331220,2006
669521,2003
363571,0
354125,8052
362567,0
363089,4012
355223,0
345238,2015
357800,2016
341195,2010
907502,0
363991,0
363065,0
361783,0
