borough,manhattan_condominium_property_total_units,total,count,average
1,370,51500000,1,51500000.0
1,546,23448960,1,23448960.0
1,249,21908850,1,21908850.0
1,234,18568432,1,18568432.0
1,236,16054368,1,16054368.0
1,423,15978816,1,15978816.0
1,199,14113000,1,14113000.0
1,452,13811504,1,13811504.0
1,65,13291717,1,13291717.0
1,277,11835135,1,11835135.0
1,329,11237765,1,11237765.0
1,207,10518480,1,10518480.0
1,260,9450000,1,9450000.0
1,261,8450000,1,8450000.0
1,173,7580000,1,7580000.0
1,93,6652550,2,3326275.0
1,67,6585000,2,3292500.0
1,108,6092940,1,6092940.0
1,122,5409959,1,5409959.0
1,85,5260000,1,5260000.0
1,80,4646252,2,2323126.0
1,89,4500000,1,4500000.0
1,118,4319140,1,4319140.0
1,33,3883880,2,1941940.0
1,126,3876080,1,3876080.0
1,20,3812125,2,1906062.5
1,36,3539304,2,1769652.0
1,84,3450000,1,3450000.0
1,38,3144024,1,3144024.0
1,40,3030060,1,3030060.0
1,14,2300000,1,2300000.0
1,90,1980000,1,1980000.0
1,24,1901118,2,950559.0
1,32,1840896,1,1840896.0
1,92,1759200,1,1759200.0
1,39,1422378,1,1422378.0
1,17,852950,1,852950.0
1,29,845000,1,845000.0
1,28,700000,1,700000.0
1,13,509522,1,509522.0
1,15,253260,2,126630.0
1,16,218736,1,218736.0
