registration_state,issue_date,violation_description,vehicle_make,vehicle_year,plate_type,issuing_agency,date_first_observed
NJ,2022-06-19 00:00:00,,HYUND,2022,PAS,4,0
NJ,2022-06-19 00:00:00,,HYUND,0,PAS,N,0
FL,2022-07-02 00:00:00,,ME/BE,0,PAS,P,0
FL,2022-07-02 00:00:00,,ME/BE,0,PAS,P,0
OH,2022-06-21 00:00:00,,TOYOT,2021,PAS,P,0
OH,2022-06-21 00:00:00,,TOYOT,2007,PAS,P,0
99,2022-07-04 00:00:00,,MITSU,2020,PAS,P,0
99,2022-06-16 00:00:00,,TOYOT,2020,PAS,P,0
99,2022-06-16 00:00:00,,TOYOT,2020,PAS,M,0
99,2022-06-24 00:00:00,,ME/BE,2008,PAS,Q,0
99,2022-06-21 00:00:00,,TOYOT,0,PAS,P,0
NY,2022-06-05 00:00:00,,LEXUS,2022,PAS,T,0
NY,2022-06-05 00:00:00,,LEXUS,2022,PAS,K,0
NY,2022-07-07 00:00:00,,NISSA,2022,PAS,P,0
NY,2022-07-05 00:00:00,,HONDA,2021,PAS,T,0
NY,2022-06-05 00:00:00,,MINI,2021,PAS,K,0
