communityb,department,acres,subcategor,acquisitio,nys_assemb,rank,dense_rank
102,M-02,0.635,Neighborhood Plgd,19291204000000.0,66,1,1
102,M-02,0.208,,19380101000000.0,66,2,2
411,Q-07A,1.166,JOP,19590514000000.0,26,1,1
412,Q-12,0.1,,20021120000000.0,29,1,1
503,R-03,36.691,Undeveloped,19941230000000.0,62,1,1
401,Q-01,1.226,Sitting Area/Triangle/Mall,19370507000000.0,36,1,1
205,X-05,0.15,Greenthumb,20021120000000.0,77,1,1
"203, 206",X-06,0.759,Sitting Area/Triangle/Mall,19590226000000.0,86,1,1
212,X-12,1.23,JOP,19411127000000.0,83,1,1
110,M-10,0.068,,20160209000000.0,70,1,1
402,Q-02,2.027,Neighborhood Plgd,19510719000000.0,30,1,1
302,B-02,0.026,Sitting Area/Triangle/Mall,19470514000000.0,52,3,1
302,B-02,0.489,Sitting Area/Triangle/Mall,19470729000000.0,52,1,2
"302, 306",B-02,21.377,Large Park,20010511000000.0,52,1,3
302,B-02,0.058,,20020220000000.0,57,2,4
204,X-04,0.494,To Be Determined,19980511000000.0,84,1,1
312,B-12,0.538,JOP,19590213000000.0,44,1,1
208,X-08,144.29,Large Park,19420409000000.0,81,1,1
111,M-11,0.186,Greenthumb,20021120000000.0,68,1,1
111,M-11,0.11,Greenthumb,20021120000000.0,68,2,1
202,X-02,0.17,Sitting Area/Triangle/Mall,18930115000000.0,85,1,1
301,B-01,36.493,Large Park,19030309000000.0,50,1,1
301,B-01,0.752,Neighborhood Plgd,19490310000000.0,53,3,2
301,B-01,6.611,Neighborhood Park,19901026000000.0,50,2,3
301,B-01,0.02,Sitting Area/Triangle/Mall,,53,4,4
308,B-08,9.339,Large Park,19500315000000.0,56,1,1
502,R-02,94.1,Flagship Park,19650524000000.0,62,1,1
203,X-03,0.549,Neighborhood Plgd,19990712000000.0,79,1,1
306,B-06,1.549,JOP,19480617000000.0,52,1,1
318,B-18,2.984,Neighborhood Plgd,19610824000000.0,59,1,1
103,M-03,4.3,Neighborhood Plgd,18970622000000.0,74,1,1
103,M-03,0.135,Neighborhood Plgd,19610323000000.0,65,3,2
103,M-03,0.15,Greenthumb,20021120000000.0,74,2,3
106,M-06,1.275,Neighborhood Plgd,19030325000000.0,74,1,1
106,M-06,0.17,,19151001000000.0,73,2,2
407,Q-07,0.658,Sitting Area/Triangle/Mall,18751005000000.0,40,1,1
411,Q-11,0.553,Sitting Area/Triangle/Mall,,26,2,1
201,X-01,1.001,Neighborhood Plgd,19511126000000.0,79,1,1
305,B-05,0.694,JOP,19500323000000.0,60,3,1
305,B-05,0.847,Neighborhood Plgd,19530625000000.0,60,2,2
305,B-05,0.068,Greenthumb,20021120000000.0,54,4,3
305,B-05,42.583,REDEC,20090128000000.0,60,1,4
305,B-05,0.011,Sitting Area/Triangle/Mall,,54,5,5
316,B-16,0.249,Greenthumb,20071101000000.0,60,2,1
316,B-16,0.918,Neighborhood Park,,55,1,2
101,M-01,0.117,Sitting Area/Triangle/Mall,19520320000000.0,65,1,1
212,X-13,0.12,Sitting Area/Triangle/Mall,19240419000000.0,81,2,1
112,M-12,196.398,Large Park,19150521000000.0,72,1,1
"410, 412, 413",Q-10,202.647,EXWY,19400629000000.0,"23, 31",1,1
414,Q-14,19.556,Large Park,19920922000000.0,31,1,1
