year,axle2loadrating,axle2space,permittodate,loadinweight,loadoutweight,applicationtypename,industrytypename
1985,26600.0,12.09,2015-07-31 00:00:00,,,Renewal,Construction
1989,33500.0,14.06,2016-01-31 00:00:00,,,Renewal,Construction
2010,,,2015-06-30 00:00:00,,,Renewal,Other
2010,5750.0,13.03,2016-10-31 00:00:00,,,Renewal,Other
2015,24020.0,18.0,2015-10-31 00:00:00,,,Transfer,Other
2015,24020.0,18.05,2016-10-31 00:00:00,,,Renewal,Other
2015,24020.0,18.05,2015-10-31 00:00:00,,,Transfer,Other
2001,32400.0,14.04,2015-09-30 00:00:00,,,Correction,Construction
2001,,,2016-06-30 00:00:00,,,Renewal,Construction
2001,,,2015-11-30 00:00:00,,,Renewal,Construction
2002,6610.0,12.04,2015-12-31 00:00:00,,,Renewal,Other
1993,,,2015-06-30 00:00:00,,,Renewal,Construction
2004,9920.0,16.08,2016-04-30 00:00:00,,,Renewal,Construction
2004,6720.0,20.0,2016-03-31 00:00:00,,,Renewal,Construction
1988,8800.0,15.07,2015-09-30 00:00:00,,,Correction,Other
2005,5675.0,13.04,2015-10-31 00:00:00,,,Other,Other
2013,5750.0,15.06,2016-10-31 00:00:00,,,Renewal,Other
2013,5750.0,13.03,2016-10-31 00:00:00,,,Renewal,Other
2013,8800.0,16.09,2016-04-30 00:00:00,,,Renewal,Other
2006,,,2015-07-31 00:00:00,,,Renewal,Construction
2006,8100.0,18.07,2016-06-30 00:00:00,,,Renewal,Construction
1987,,,2015-10-31 00:00:00,,,Other,Other
2007,5750.0,16.09,2016-07-31 00:00:00,,,Renewal,Cement
2014,24020.0,18.05,2015-10-31 00:00:00,,,Renewal,Other
2008,8800.0,16.09,2015-08-31 00:00:00,,,Renewal,Other
2012,5750.0,4.08,2015-10-31 00:00:00,,,Other,Other
1986,7660.0,13.0,2015-08-31 00:00:00,,,Renewal,Other
2009,5750.0,13.03,2015-10-31 00:00:00,,,Other,Other
2009,5750.0,13.0,2015-10-31 00:00:00,,,Other,Other
