dbn,programname,geodistrict,programtype,phonenumber,address,extendedhoursallschools,additionalpriorities
04M182,The Bilingual Bicultural School,4,District School,212-860-6031,219 East 109 Street,Contact Program,
04M182,The Bilingual Bicultural School,4,District School,212-860-6031,219 East 109 Street,,
06M187,P.S./I.S. 187 Hudson Cliffs,6,District School,212-927-8218,349 Cabrini Boulevard,Contact Program,
06M189,P.S. 189,6,District School,212-927-8303,2580 Amsterdam Avenue,,
05M129,P.S. 129 John H. Finley,5,District School,212-690-5932,425 West 130 Street,AM,
05M123,P.S. 123 Mahalia Jackson,5,District School,212-342-6200,301 West 140 Street,,
09X058,P.S. 58,9,District School,718-583-6866,459 East 176 Street,Contact Program,
14K257,P.S. 257 John F. Hylan,14,District School,718-384-7128,60 Cook Street,,
21K215,P.S. 215 Morris H. Weiss,21,District School,718-339-2464,415 Avenue S,PM,
21K253,P.S. 253,21,District School,718-332-3331,601 Ocean View Avenue,,
08X182,P.S. 182,8,District School,718-828-6607,601 Stickball Boulevard,,
08X107,P.S. 107,8,District School,718-860-8760,1695 Seward Avenue,,
13K067,P.S. 67 Charles A. Dorsey,13,District School,718-834-6756,51 Saint Edwards Street,,
13K020,P.S. 20 Clinton Hill,13,District School,718-834-6744,225 Adelphi Street,AM/PM,
16K628,Brooklyn Brownstone School,16,District School,718-573-2307,272 Macdonough Street,Contact Program,
10X207,P.S. 207,10,District School,718-796-9645,3030 Godwin Terrace,AM,
10X209,P.S. 209,10,District School,718-364-0085,313 East 183 Street,Contact Program,
10X396,P.S. 396,10,District School,718-294-0862,1930 Andrews Avenue,Contact Program,
02M089,P.S. 89,2,District School,212-571-5659,201 Warren Street,Contact Program,
02M124,P.S. 124 Yung Wing,2,District School,212-966-7237,40 Division Street,AM,
02M340,Sixth Avenue Elementary School,2,District School,917-305-1000,590 Sixth Avenue,PM,
15K038,P.S. 38 The Pacific,15,District School,718-330-9305,450 Pacific Street,PM,
15K516,Sunset Park Avenues Elementary School,15,District School,718-369-8330,4222 4 Avenue,Contact Program,
