latitude,longitude,location,type,ntacode,category,count,avg_value,total_value,max_value
40.5786309996,-74.0768009998,Along Boardwalk and Beach,Limited Free,SI36,medium usage,3,50.0,150.0,50.0
40.7669397902,-73.9831552895,301 WEST 57 STREET,Free,MN15,low usage,1,3.0,3.0,3.0
40.7541882302,-73.9293986402,36-35 33 STREET,Free,QN68,low usage,1,26.0,26.0,26.0
40.8072958097,-73.9646455504,2939 BROADWAY,Free,MN09,low usage,1,7.0,7.0,7.0
40.7047004998,-74.0083008003,"90 Water Street, New York, NY 10005, USA",Free,MN25,low usage,1,1.0,1.0,1.0
40.7136065153,-74.0078616724,9 MURRAY STREET,Free,MN24,low usage,1,1.0,1.0,1.0
40.7611419703,-73.9830902797,777 7 AVENUE,Free,MN17,low usage,1,4.0,4.0,4.0
40.8062866423,-73.9179551832,211 ST ANN'S AVENUE,Free,BX39,low usage,1,8.0,8.0,8.0
40.796138,-73.970931,2601 BROADWAY,Free,MN12,low usage,1,6.0,6.0,6.0
40.810178,-73.9489240003,Pole 49: 126NS2E8av,Free,MN03,low usage,1,9.0,9.0,9.0
40.6900723003,-73.9823248003,1 Dekalb Ave.,Free,BK38,medium usage,1,33.0,33.0,33.0
40.7116663597,-73.9510261478,2 POWERS STREET,Free,BK73,medium usage,1,34.0,34.0,34.0
40.798102,-73.950349,pole 18: 111NS2ELe,Free,MN11,low usage,1,9.0,9.0,9.0
40.7509655202,-73.9741480605,675 3 AVENUE,Free,MN19,low usage,1,4.0,4.0,4.0
40.7622099,-73.9818807495,159 WEST 52 STREET,Free,MN17,low usage,1,4.0,4.0,4.0
40.8201024948,-73.9128382274,487 EAST 156 STREET,Free,BX34,low usage,1,17.0,17.0,17.0
40.8048000002,-73.9443,Amphitheater,Free,MN34,low usage,1,9.0,9.0,9.0
40.7986290002,-73.9416169996,116 St (6),Free,MN34,low usage,1,8.0,8.0,8.0
40.8377000004,-73.9084800001,FRNT OF BASKET BALL COURT N/O E 170TH ST,Limited Free,BX99,low usage,1,16.0,16.0,16.0
40.7395310003,-73.9828890001,172 EAST 24 STREET,Free,MN21,low usage,1,2.0,2.0,2.0
40.6735340004,-73.982789,304 5 AVENUE,Free,BK37,medium usage,1,39.0,39.0,39.0
40.6682166933,-73.9834274329,431 6 AVENUE,Free,BK37,medium usage,1,39.0,39.0,39.0
40.8495049997,-73.9335959996,181 St (1),Free,MN35,low usage,1,10.0,10.0,10.0
40.655745777,-74.0065489228,948 3 AVENUE,Free,BK32,medium usage,1,38.0,38.0,38.0
40.7660599997,-73.9635540005,1132 3 AVENUE,Free,MN40,low usage,1,4.0,4.0,4.0
40.7407749998,-73.9815760003,359 3 AVENUE,Free,MN20,low usage,1,2.0,2.0,2.0
40.6950769996,-73.8228169995,North West side of Park,Limited Free,QN54,low usage,1,28.0,28.0,28.0
40.6574519997,-73.9639909997,Skate Rental Area,Limited Free,BK99,medium usage,1,39.0,39.0,39.0
40.7809927904,-73.9815226701,2135 BROADWAY,Free,MN12,low usage,1,6.0,6.0,6.0
40.7036540004,-73.9426819995,61 AVENUE OF PUERTO RICO,Free,BK90,medium usage,1,34.0,34.0,34.0
40.7404654556,-73.9933569112,40 WEST 20 STREET,Free,MN13,low usage,1,3.0,3.0,3.0
40.7559829997,-73.9862289995,Times Square - 42nd Street,Free,MN17,low usage,1,4.0,4.0,4.0
40.7720050003,-73.9823840006,Park Area at W63rd & Columbus,Limited Free,MN14,low usage,1,6.0,6.0,6.0
40.7427700859,-74.0017175673,18th between 8th and 9th,Free,MN13,low usage,1,3.0,3.0,3.0
40.8029842296,-73.9678553303,300 WEST 108 STREET,Free,MN09,low usage,1,6.0,6.0,6.0
40.7178279998,-74.0009619996,101 LAFAYETTE STREET,Free,MN24,low usage,1,1.0,1.0,1.0
40.7724771003,-73.9587668404,1330 3 AVENUE,Free,MN40,low usage,1,4.0,4.0,4.0
40.797148,-73.9696300005,219 WEST 100 STREET,Free,MN12,low usage,1,7.0,7.0,7.0
40.7438912097,-73.9833700403,101 EAST 29 STREET,Free,MN20,low usage,1,2.0,2.0,2.0
40.7622461604,-73.9862930105,825 8 AVENUE,Free,MN15,low usage,1,3.0,3.0,3.0
40.7697493901,-73.9667634197,22 EAST 69 STREET,Free,MN40,low usage,1,4.0,4.0,4.0
40.7152266304,-73.9627406698,230 BERRY STREET,Free,BK73,medium usage,1,34.0,34.0,34.0
40.702147,-73.8011089995,IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,Free,QN61,low usage,1,27.0,27.0,27.0
40.6510267597,-73.9465128704,3301 CHURCH AVE,Free,BK95,medium usage,1,40.0,40.0,40.0
40.8075079996,-73.9644880005,2943 BROADWAY,Free,MN09,low usage,1,7.0,7.0,7.0
40.6727060872,-73.8740334898,1197 SUTTER AVENUE,Free,BK82,medium usage,1,42.0,42.0,42.0
40.8092681002,-73.9517076806,2306 FREDERICK DOUGLASS BOULEVARD,Free,MN11,low usage,1,9.0,9.0,9.0
40.5803519997,-73.8266210003,Beach 108 - Comfort Station and Beach,Limited Free,QN10,medium usage,1,32.0,32.0,32.0
40.80439875,-73.9663281704,2848 BROADWAY,Free,MN09,low usage,1,7.0,7.0,7.0
40.7986462699,-73.9414215295,145 EAST 116 STREET,Free,MN34,low usage,1,8.0,8.0,8.0
