queens_cooperatives_comparable_properties_address,nta,queens_cooperatives_comparable_properties_year_built,category,count,avg_value,total_value,max_value
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Forest Hills                                                               ,1962,high value per sqft,1,63.0,63.0,63.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 20 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Forest Hills                                                               ,1930,medium value per sqft,1,56.0,56.0,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Elmhurst                                                                   ,1959,medium value per sqft,1,47.3,47.3,47.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 11 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Kew Gardens                                                                ,1928,low value per sqft,1,38.8,38.8,38.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""268 18 82 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Glen Oaks-Floral Park-New Hyde Park                                        ,1950,medium value per sqft,1,42.4,42.4,42.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 05 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Hunters Point-Sunnyside-West Maspeth                                       ,1932,high value per sqft,1,65.0,65.0,65.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 10 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Forest Hills                                                               ,1950,high value per sqft,1,66.0,66.0,66.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Lindenwood-Howard Beach                                                    ,1962,medium value per sqft,1,41.7,41.7,41.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 24 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",North Corona                                                               ,1953,medium value per sqft,1,50.0,50.0,50.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Flushing                                                                   ,1966,medium value per sqft,1,48.3,48.3,48.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 05 48 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Hunters Point-Sunnyside-West Maspeth                                       ,1942,medium value per sqft,1,60.0,60.0,60.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 11 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Jackson Heights                                                            ,1956,low value per sqft,1,38.7,38.7,38.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Flushing                                                                   ,1962,medium value per sqft,1,46.6,46.6,46.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""241 20 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Douglas Manor-Douglaston-Little Neck                                       ,1964,medium value per sqft,1,41.4,41.4,41.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 40 211 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Ft. Totten-Bay Terrace-Clearview                                           ,1961,medium value per sqft,1,58.0,58.0,58.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 35 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Forest Hills                                                               ,1940,medium value per sqft,1,57.0,57.0,57.0
