bin,councildst,permityear,bct2020,category,count,avg_value,total_value,max_value
3002485,33.0,2024.0,3000700.0,small,1,,,
3073912,37.0,2023.0,3044500.0,small,1,,,
1010929,3.0,2021.0,1007300.0,small,1,,,
3326183,37.0,2025.0,3043900.0,small,1,,,
3429097,34.0,2024.0,3048100.0,small,1,,,
3114090,45.0,2024.0,3078400.0,small,1,,,
3066720,33.0,2023.0,3056900.0,small,1,,,
3022083,39.0,2023.0,3013700.0,small,1,1.0,1.0,1.0
3324866,34.0,2024.0,3055300.0,small,1,,,
1062610,10.0,2023.0,1024301.0,small,1,,,
4466645,32.0,2022.0,1030900.0,small,1,,,
4466645,32.0,2022.0,4091603.0,small,1,,,
5177065,50.0,2025.0,5018901.0,small,1,,,
3341846,36.0,2025.0,3025700.0,small,1,,,
5176136,50.0,2023.0,5007400.0,small,1,2.0,2.0,2.0
4623771,26.0,2022.0,4025700.0,small,1,3.0,3.0,3.0
3326183,37.0,2025.0,3007700.0,small,1,,,
3048776,36.0,2025.0,3025300.0,small,1,,,
3114090,45.0,2024.0,2012901.0,small,1,,,
1091691,10.0,2022.0,1029900.0,large,1,224.0,224.0,224.0
3430162,44.0,2023.0,3047000.0,small,1,,,
3079250,37.0,2023.0,3117400.0,small,1,,,
1011016,3.0,2022.0,1007700.0,small,1,1.0,1.0,1.0
3079250,37.0,2023.0,3041300.0,small,1,,,
1084788,2.0,2023.0,1003200.0,small,1,28.0,28.0,28.0
4156719,19.0,2022.0,4144700.0,small,1,2.0,2.0,2.0
