location_name,location_code,managed_by_name,grades_text,school_support_team_leader_name,category,count,avg_value,total_value,max_value
P.S. 290 Manhattan New School,M290,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
P.S. 093 William H. Prescott,K093,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
Khalil Gibran International Academy,K592,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
Bronx Studio School for Writers and Artists,X269,DOE,"06,07,08,09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
Young Leaders Elementary School,X369,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
P.S. 126 Jacob August Riis,M126,DOE,"PK,0K,01,02,03,04,05,06,07,08,SE",,post_2017,1,2018.0,2018,2018
P.S. 308 Clara Cardwell,K308,DOE,"PK,0K,01,02,03,04,05,06,07,08,SE",,post_2017,1,2018.0,2018,2018
P.S. 204 Vince Lombardi,K204,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
John Ericsson Middle School 126,K126,DOE,"06,07,08,SE",,post_2017,1,2018.0,2018,2018
Central Park East II,M964,DOE,"PK,0K,01,02,03,04,05,06,07,08,SE",,post_2017,1,2018.0,2018,2018
VOYAGES Preparatory,Q744,DOE,9,,post_2017,1,2018.0,2018,2018
P.S. 072 Dr. William Dorney,X072,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
Astor Collegiate Academy,X299,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
P.S. 009 Teunis G. Bergen,K009,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
High School for Dual Language and Asian Studies,M545,DOE,"09,10,11,12",,post_2017,1,2018.0,2018,2018
Satellite Academy High School,M570,DOE,"09,10,11,12",,post_2017,1,2018.0,2018,2018
