programname,geodistrict,programtype,address,phonenumber,languagesupportprograms,extendedhoursallschools,additionalpriorities,rank,dense_rank
District 2 Pre-K Center at 10 Reade Street,2,Pre-K Center,10 Reade Street,212-422-6310,,,,1,1
Learning Through Play Pre-K Center at 105 Willis Avenue,7,Pre-K Center,105 Willis Avenue,718-401-0510,,,,1,1
District 20 Pre-K Center at 7415 Fort Hamilton Parkway,20,Pre-K Center,7415 Fort Hamilton Parkway,718-567-4220,,,,1,1
P.S. 215 Morris H. Weiss,21,District School,415 Avenue S,718-339-2464,,PM,,1,1
P.S./I.S. 187 Hudson Cliffs,6,District School,349 Cabrini Boulevard,212-927-8218,,Contact Program,,1,1
P.S. 38 The Pacific,15,District School,450 Pacific Street,718-330-9305,,PM,,1,1
Sunset Park Avenues Elementary School,15,District School,4222 4 Avenue,718-369-8330,,Contact Program,,1,1
The Bilingual Bicultural School,4,District School,219 East 109 Street,212-860-6031,,,,1,1
The Bilingual Bicultural School,4,District School,219 East 109 Street,212-860-6031,,Contact Program,,1,1
P.S. 129 John H. Finley,5,District School,425 West 130 Street,212-690-5932,,AM,,1,1
P.S. 253,21,District School,601 Ocean View Avenue,718-332-3331,,,,1,1
P.S. 58,9,District School,459 East 176 Street,718-583-6866,,Contact Program,,1,1
P.S. 257 John F. Hylan,14,District School,60 Cook Street,718-384-7128,,,,1,1
P.S. 182,8,District School,601 Stickball Boulevard,718-828-6607,,,,1,1
P.S. 107,8,District School,1695 Seward Avenue,718-860-8760,,,,1,1
P.S. 67 Charles A. Dorsey,13,District School,51 Saint Edwards Street,718-834-6756,,,,1,1
P.S. 20 Clinton Hill,13,District School,225 Adelphi Street,718-834-6744,,AM/PM,,1,1
P.S. 89,2,District School,201 Warren Street,212-571-5659,,Contact Program,,1,1
P.S. 124 Yung Wing,2,District School,40 Division Street,212-966-7237,,AM,,1,1
Sixth Avenue Elementary School,2,District School,590 Sixth Avenue,917-305-1000,,,,1,1
P.S. 40 Augustus Saint-Gaudens,2,District School,320 East 20 Street,212-475-5500,,,,1,1
Sixth Avenue Elementary School,2,District School,590 Sixth Avenue,917-305-1000,,PM,,1,1
P.S. 396,10,District School,1930 Andrews Avenue,718-294-0862,,Contact Program,,1,1
P.S. 189,6,District School,2580 Amsterdam Avenue,212-927-8303,,,,1,1
Brooklyn Brownstone School,16,District School,272 Macdonough Street,718-573-2307,,Contact Program,,1,1
P.S. 207,10,District School,3030 Godwin Terrace,718-796-9645,,AM,,1,1
P.S. 209,10,District School,313 East 183 Street,718-364-0085,,Contact Program,,1,1
P.S. 123 Mahalia Jackson,5,District School,301 West 140 Street,212-342-6200,,,,1,1
East Harlem Education Center,4,Charter School,2050 Second Avenue,212-348-2518,,,,1,1
Bais Yaakov D'Chassidei Gur,21,NYCEEC,1975 51 Street,718-338-5600,,Contact Program,,1,1
Pequenos Souls Day Care Center,4,NYCEEC,114 East 122 Street,212-427-7644,,Contact Program,,1,1
Seventh Avenue Center for Family Services,9,NYCEEC,1646 Montgomery Avenue,718-901-0140,Y,,,1,1
Williamsburg CCC,14,NYCEEC,110 Taylor Street,347-943-7682,,Contact Program,,1,1
Imagine Early Learning Center at East 97th Street,2,NYCEEC,60-62 East 97 Street,212-410-2077,,AM/PM,,1,1
St. Anselm Catholic Academy,20,NYCEEC,365 83 Street,718-745-7643,,AM/PM,,1,1
Guild for Exceptional Children,20,NYCEEC,1273 57 Street,718-435-2554,,AM/PM,,1,1
Manida (Center #1),8,NYCEEC,711 Manida Street,718-542-7590,Y,,,1,1
Prospect Early Childhood Center,8,NYCEEC,730 Kelly Street,718-617-6100,,PM,,1,1
Saint Theresa,8,NYCEEC,2872 Saint Theresa Avenue,718-792-3688,,AM/PM,,1,1
Urban Strategies 3,19,NYCEEC,1152 Elton Street,718-348-9349,,,,1,1
HELP I,19,NYCEEC,515 Blake Avenue,718-498-4002,,AM/PM,,1,1
Trey Whitfield School,19,NYCEEC,17 Hinsdale Street,718-342-7722,,AM/PM,,1,1
Cathedral Parkway Towers Preschool,3,NYCEEC,125 West 109 Street,212-749-0291,,PM,,1,1
LSSMNY: Early LIFE Childrens Center 14,6,NYCEEC,510-16 West 145 Street,646-449-0814,,AM/PM,,1,1
Washington Heights DCC,6,NYCEEC,610-614 West 175 Street,212-781-6910,,PM,,1,1
Williamsbridge NAACP Early Childhood Education Center,11,NYCEEC,670 East 219 Street,718-798-1262,,PM,,1,1
The Learning Tree,11,NYCEEC,801 Bartholdi Street,718-944-0958,,Contact Program,,1,1
"All Seasons Day Care, LLC",11,NYCEEC,1701 Nereid Avenue,718-324-8300,,AM/PM,,1,1
Friends of Crown Heights 29,16,NYCEEC,1435 Prospect Place,718-778-1498,,PM,,1,1
1199 Future of America Learning Center,10,NYCEEC,2500 Creston Avenue,718-562-2915,,,,1,1
Riverdale Nursery School And Family Center,10,NYCEEC,3816 Waldo Avenue,718-884-3950,,AM/PM,,1,1
"Yeled V'Yalda ECC, Inc.",20,Half Day Programs,600 Mcdonald Avenue,718-514-8980,,Contact Program,,1,1
"Yeled V'Yalda ECC, Inc.",20,Half Day Programs,600 Mcdonald Avenue,718-514-8980,,Contact Program,,1,1
