permitid,total_axle2weight,vehicletype,applicationdate
2711,23000.0,Other Single,2014-09-19 10:41:50
2921,29500.0,Dump Truck,2014-11-07 11:49:53
2855,23000.0,Other Single,2014-10-20 11:39:43
2736,23000.0,Other Single,2014-09-22 10:39:20
4426,23000.0,Other Single,2015-11-02 09:45:42
2716,23000.0,Dump Truck,2014-09-19 13:48:06
2546,29000.0,Other Single,2014-08-11 15:19:38
4472,23000.0,Other Single,2015-11-03 13:33:35
3091,23000.0,Dump Truck,2014-12-12 14:53:29
4123,23000.0,Other Single,2015-08-21 13:26:25
2489,25000.0,Dump Truck,2014-07-08 15:28:15
2560,,Tractor Trailer,2014-08-14 11:23:04
2648,22700.0,Other Single,2014-09-17 10:30:37
2467,,Tractor Trailer,2014-07-02 11:31:52
2634,26000.0,Other Single,2014-09-15 09:51:29
3558,29000.0,Other Single,2015-04-06 15:24:34
2561,29500.0,Dump Truck,2014-08-14 14:06:21
3750,,Tractor Trailer,2015-05-29 09:09:16
3872,29500.0,Dump Truck,2015-06-30 14:53:52
3969,33500.0,Dump Truck,2015-08-05 15:00:18
3992,23000.0,Cement Truck,2015-08-08 13:21:57
4451,23000.0,Other Single,2015-11-02 14:40:42
2640,,Tractor Trailer,2014-09-17 09:50:46
3985,,Tractor Trailer,2015-08-07 13:53:29
2758,23000.0,Other Single,2014-09-24 13:38:22
4468,23000.0,Other Single,2015-11-03 09:46:09
2973,,Tractor Trailer,2014-11-26 20:06:14
4166,26880.0,Dump Truck,2015-09-09 10:56:58
2511,,Tractor Trailer,2014-07-22 12:24:04
3324,23000.0,Other Single,2015-02-12 10:12:40
3561,29500.0,Cement Truck,2015-04-07 10:38:08
