house_no,adj_failure_to_correct_amt,adj_late_filing_amt,count,total
136-16,0.0,112000.0,1,0.0
919,0.0,4000.0,1,0.0
355,0.0,3750.0,2,0.0
2835,2000.0,24600.0,1,2000.0
270,0.0,5000.0,1,0.0
117,0.0,28000.0,1,0.0
207,0.0,34750.0,1,0.0
44,8000.0,7250.0,1,8000.0
155,9000.0,7250.0,1,9000.0
1105,0.0,4650.0,1,0.0
950,0.0,14500.0,1,0.0
160,0.0,5000.0,1,0.0
120,0.0,50000.0,1,0.0
1240,80000.0,1750.0,1,80000.0
222,0.0,11250.0,1,0.0
59,395000.0,26000.0,1,395000.0
210,0.0,0.0,1,0.0
162,0.0,24000.0,1,0.0
322,2000.0,0.0,1,2000.0
330,0.0,12750.0,1,0.0
2350,0.0,8000.0,1,0.0
228,0.0,0.0,1,0.0
217,0.0,0.0,1,0.0
225,0.0,9000.0,1,0.0
411,0.0,50500.0,1,0.0
400,255760.0,4500.0,1,255760.0
1240,80000.0,15000.0,1,80000.0
137-07,0.0,17000.0,1,0.0
186,0.0,9250.0,1,0.0
2857,0.0,12000.0,1,0.0
400,255760.0,90900.0,1,255760.0
3,0.0,62500.0,1,0.0
406,0.0,6000.0,1,0.0
29,187400.0,12000.0,1,187400.0
122,0.0,17000.0,1,0.0
155,9000.0,6000.0,1,9000.0
1925,0.0,23000.0,1,0.0
120,0.0,45000.0,1,0.0
780,0.0,51500.0,1,0.0
3-10,0.0,0.0,1,0.0
108,4000.0,33350.0,1,4000.0
735,0.0,0.0,4,0.0
556,0.0,39950.0,1,0.0
303,0.0,1000.0,1,0.0
108,4000.0,6250.0,1,4000.0
217,0.0,21000.0,1,0.0
1435,0.0,0.0,1,0.0
109,0.0,0.0,1,0.0
3764,12000.0,27000.0,1,12000.0
1648,0.0,10250.0,1,0.0
20,0.0,11000.0,1,0.0
2515,0.0,26500.0,1,0.0
3980,10000.0,16000.0,2,20000.0
160,0.0,18000.0,1,0.0
18,0.0,20750.0,1,0.0
840,0.0,3000.0,1,0.0
3299,84600.0,9000.0,1,84600.0
162,0.0,3000.0,1,0.0
