engroupa,avgofprop_n,nypd_site_name,schools_in_building,nocrim_n,latitude,longitude,rank,dense_rank
2C,0.51,,Olympus Academy 755 East 100 Street,5.0,40.676094,-73.935688,1,1
2C,0.51,JHS 013M,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,,40.761448,-73.988019,8,1
2C,0.51,JHS 013M,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,,40.761448,-73.988019,8,1
2C,0.51,JHS 013M,P.S. 015 Roberto Clemente,1.0,40.761448,-73.988019,2,1
2C,0.51,JHS 013M,P.S. 015 Roberto Clemente,1.0,40.761448,-73.988019,2,1
3C,0.63,PS 144M,P.S. 146 Ann M. Short,1.0,40.80247,-73.946716,6,2
3C,0.63,IS 302K,Brighter Choice Community School |  280 HART STREET CONSOLIDATED LOCATION,1.0,40.686076,-73.945229,6,2
3C,0.63,JHS 278K,P.S. 284 Lew Wallace,1.0,40.646877,-73.920977,6,2
3C,0.63,PS 176K,P.S. 178 Saint Clair Mckelway,6.0,40.640463,-73.977642,1,2
3C,0.63,PS 346K,I.S. 364 Gateway,3.0,40.647323,-73.892022,5,2
3C,0.63,PS 012K,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,4.0,40.673073,-73.919594,3,2
3C,0.63,PS 012K,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,4.0,40.673073,-73.919594,3,2
3C,0.63,PS 040K,P.S. 041 Francis White,5.0,40.660306,-73.907355,2,2
4C,0.75,IS 218M,Washington Heights Academy,1.0,40.70644,-74.017818,6,3
4C,0.75,PS 034M,P.S. 041 Greenwich Village,1.0,40.715905,-73.990895,6,3
4C,0.75,IS 070M,P.S. 076 A. Philip Randolph,2.0,40.802419,-73.942634,4,3
4C,0.75,IS 142K,P.S. 145 Andrew Jackson,2.0,40.705204,-73.939407,4,3
