ticket_number,total_penalty_imposed,hearing_status,violation_date
049557116X,25.0,NEW ISSUANCE,2025-12-22 00:00:00
049557119L,50.0,NEW ISSUANCE,2025-12-22 00:00:00
049576218K,4000.0,PAID IN FULL,2025-12-20 00:00:00
049597820X,1000.0,PAID IN FULL,2025-12-19 00:00:00
049469731H,75.0,NEW ISSUANCE,2025-12-22 00:00:00
049533470M,100.0,NEW ISSUANCE,2025-12-20 00:00:00
0704088074,7200.0,NEW ISSUANCE,2025-12-22 00:00:00
039171217K,2000.0,NEW ISSUANCE,2025-12-22 00:00:00
0704088074,21600.0,NEW ISSUANCE,2025-12-19 00:00:00
