childcaretype,programtype,facilitytype,regulationsummary,record_count,total_amount,avg_amount,max_amount,min_amount
Child Care - Pre School,PRESCHOOL,GDC,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,86,527.050999999999,6.128499999999988,6.1285,6.1285
Child Care - Pre School,PRESCHOOL,GDC,At time of inspection records of enrolled children's periodic medical examination were Not provided or maintained.,8,49.028000000000006,6.128500000000001,6.1285,6.1285
Child Care - Pre School,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,49,288.5175,6.01078125,6.1285,4.9984
Child Care - Pre School,PRESCHOOL,GDC,Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,17,104.18450000000003,6.128500000000002,6.1285,6.1285
School Based Child Care,PRESCHOOL,SBCC,Walls and ceiling in commercial building Not properly constructed; Not maintained in good repair; unclean,32,745.6543999999997,23.30169999999999,23.3017,23.3017
School Based Child Care,PRESCHOOL,SBCC,Teaching and supervisory staff trained in abuse/maltreatment identification and reporting. 2 hours of training received every 24 months. Training provided by OCFS approved trainer. New staff trained within 3 months of hire,2304,53687.11680000323,23.3017000000014,23.3017,23.3017
Child Care - Pre School,INFANT TODDLER,GDC,There were no new violations observed at the time of this inspection/visit.,8,44.5076,5.56345,6.1285,4.9984
Child Care - Pre School,PRESCHOOL,GDC,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,8,49.028000000000006,6.128500000000001,6.1285,6.1285
Child Care - Pre School,PRESCHOOL,GDC,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,11,67.41350000000001,6.128500000000002,6.1285,6.1285
Child Care - Infants/Toddlers,INFANT TODDLER,GDC,There were no new violations observed at the time of this inspection/visit.,6,31.1205,5.18675,6.1285,4.9984
