queens_condominium_property_address,queens_condominium_property_address,queens_condominium_property_condo_section,queens_condominium_property_neighborhood,total_market_value_per_sqft,total_est_gross_income,total_full_market_value
175-32 56 AVENUE,175-32 56 AVENUE,49-R2,FLUSHING-NORTH,51.0,702000,2370020
27-16 41 AVENUE,27-16 41 AVENUE,533-R1,LONG ISLAND CITY,104.0,648450,2689999
42-15 81 STREET,42-15 81 STREET,281-R1,ELMHURST,67.0,2357640,8819997
65-36 WETHEROLE STREET,65-36 WETHEROLE STREET,56-R1,REGO PARK,43.6,928536,2890006
78-10 153 AVENUE,78-10 153 AVENUE,292-R1,HOWARD BEACH,49.0,759800,2570000
104-19 39 AVENUE,104-19 39 AVENUE,469-R1,CORONA,91.0,294000,1280000
36-20 168 STREET,36-20 168 STREET,199-R1,FLUSHING-NORTH,49.1,1232500,4170003
135-08 82 AVENUE,135-08 82 AVENUE,251-R1,BRIARWOOD,51.0,285000,963997
133-36 41 ROAD,133-36 41 ROAD,164-R1,FLUSHING-NORTH,71.0,1373700,5139997
139-87 35 AVENUE,139-87 35 AVENUE,398-R1,FLUSHING-NORTH,75.0,324896,1209997
94-31 60 AVENUE,94-31 60 AVENUE,129-R3,ELMHURST,42.0,4080186,12700000
85-15 MAIN STREET,85-15 MAIN STREET,215-R1,BRIARWOOD,63.0,3288946,12300000
14-34 110 STREET,14-34 110 STREET,534-R1,COLLEGE POINT,87.0,633885,2640005
144-77 ROOSEVELT AVENUE,144-77 ROOSEVELT AVENUE,42-R1,FLUSHING-NORTH,67.0,1829232,6839985
41-14 68 STREET,41-14 68 STREET,279-R1,WOODSIDE,65.0,273577,1019998
41-28 71 STREET,41-28 71 STREET,211-R1,ELMHURST,43.6,177548,553001
