job_filing_number,total_initial_cost,owner_s_business_name,signoff_date,bin,bin,latitude,longitude,block
X00283191-I1,150000.0,CAPSTONE PROPERTY CARE,2024-06-24 00:00:00,2002572,2002572,40.831785,-73.916024,2449
B01056267-S1,37500.0,PR,2025-01-28 00:00:00,3418229,3418229,40.67764,-73.955825,1142
B00463611-I1,1800.0,ACP BK1 LLC,,3329628,3329628,40.699963,-73.948449,1720
Q00175843-I1,1150.0,PR,2019-09-10 00:00:00,4617247,4617247,40.653478,-73.766948,14260
M00068081-I1,4000.0,JORGE MOLINA,2019-06-03 00:00:00,1034248,1034248,40.755774,-73.980332,1261
B01162336-I1,10000.0,PITKIN GROUP LLC,2025-12-15 00:00:00,3117411,3117411,40.648083,-73.951048,5111
M00877136-I1,7700.0,"203 WEST 90TH STREET RETAIL, LLC",,1033968,1033968,40.789844,-73.978018,1249
M01088431-P1,14700.0,TISHMAN REAL ESTATE MANAGEMENT,,1087142,1087142,40.75676,-73.988648,1014
Q08050705-P1,158730.0,PI CAPITAL,,4570298,4570298,40.737942,-73.878281,1549
Q00343274-P1,162500.0,HOLDINGS LLC,,4050630,4050630,40.732567,-73.8567,2110
M00068081-I1,4000.0,JORGE MOLINA,,1034248,1034248,40.755774,-73.980332,1261
M00470686-P3,38850.0,,2019-06-03 00:00:00,1076258,1076258,40.756306,-73.979704,1261
M00345500-I1,1000.0,PHOENIX SUTTON STR INC,2020-10-07 00:00:00,1041224,1041224,40.768937,-73.966649,1382
M00731506-P3,18000.0,PR,,1011843,1011843,40.734375,-74.007152,632
B00977968-I1,57438.0,PR,2024-04-11 00:00:00,3342331,3342331,40.688967,-73.919081,3357
B00539229-I1,1574865.0,NEW YORK CITY HOUSING AUTHORITY,2025-03-18 00:00:00,3324292,3324292,40.660605,-73.883508,4355
M00525359-I1,5000.0,TRIARCH MANAGEMENT INC,,1057284,1057284,40.802454,-73.968045,1892
B00833568-I1,20000.0,MARTAN MANAGEMENT LLC,2024-01-05 00:00:00,3340150,3340150,40.655754,-74.003781,684
M00470686-P3,38850.0,,,1076258,1076258,40.756306,-73.979704,1261
M01078574-S1,6000.0,GROVE PAD TRUST,,1009861,1009861,40.732429,-74.00551,585
M08055458-P1,203626.0,,,1091742,1091742,40.724491,-73.999791,500
Q00501883-A1,1000.0,DAVIS STREET DEVELOPMENT LLC,,4623682,4623682,40.745242,-73.94526,85
B00247826-I1,500.0,A,,3022472,3022472,40.670237,-73.990245,1015
M00970305-I1,0.0,SAVANNA,,1015680,1015680,40.744747,-73.989354,829
S00574757-P1,12000.0,PR,,5025251,5025251,40.640342,-74.132743,1068
X01025944-P1,10000.0,RIVERSPRING HEBREW HOME AT RIVERDAL,,2129590,2129590,40.90873,-73.908539,5933
M00676209-I1,20000.0,PRINCE TOWER TENANTS CORP,,1007573,1007573,40.724013,-73.997987,498
X01080570-I1,216750.0,PR,,2128608,2128608,40.81244,-73.905272,2582
X00615227-I1,6000.0,PR,2022-12-27 00:00:00,2012452,2012452,40.853559,-73.887656,3087
S01168848-I1,50000.0,BASIC GROUPS CORP,,5053638,5053638,40.574661,-74.101284,3699
M01106860-I1,68250.0,NMC PROPERTY MANAGEMENT,,1017206,1017206,40.749137,-73.979858,867
M00584280-I1,70000.0,SILVERSTEIN PROPERTIES INC.,2022-05-02 00:00:00,1085962,1085962,40.760884,-73.998477,1089
B00854125-I1,100.0,BEDFORD ENTERPRISES,2023-04-27 00:00:00,3425954,3425954,40.710618,-73.954656,2411
M00772350-I1,1.0,SPRING SCAFFOLDING LLC,2023-12-29 00:00:00,1035741,1035741,40.761131,-73.975295,1290
M01232291-I1,200.0,W28th Development LLC,,1014262,1014262,40.747333,-73.993302,778
M00640994-I1,110000.0,PR,2023-02-17 00:00:00,1090681,1090681,40.741827,-74.007975,646
X00798868-S1,999758.48,NYC SCA,,2022550,2022550,40.821409,-73.862976,3641
M01026719-I1,101372.6,SECOND AVE SOLOW DEV CORP,2025-01-13 00:00:00,1035071,1035071,40.763255,-73.974633,1273
B08010802-I1,95000.0,PR,,3020427,3020427,40.675166,-73.982923,961
Q00852378-I1,5250.0,PR,,4238813,4238813,40.712648,-73.746443,11086
B00379523-I1,32500.0,PROACTIVE BUILDING SOLUTIONS,,3426514,3426514,40.704171,-73.94929,2238
Q00900510-P1,0.0,KBY BUILDING,,4624969,4624969,40.603379,-73.74585,15572
B00977968-I1,57438.0,PR,,3342331,3342331,40.688967,-73.919081,3357
B00089492-I1,7000.0,701 LAFAYETTE AVE LLC.,2020-10-16 00:00:00,3049850,3049850,40.690637,-73.944804,1786
M00305208-I1,100000.0,"169 CH9 OWNER, LLC",2023-09-11 00:00:00,1033197,1033197,40.788817,-73.97605,1234
X01298560-I1,10000.0,UNIVERSAL DESIGN & CONSTR MGMT,,2077929,2077929,40.833576,-73.817241,5469
B00889442-I1,10000.0,PARK,2024-03-14 00:00:00,3404524,3404524,40.644331,-73.982606,5309
B00009242-I1,4000.0,HKS CONSTRUCTION CORP,2024-02-23 00:00:00,3418117,3418117,40.669831,-73.932864,1390
B01179041-I1,0.0,,,3429687,3429687,40.681104,-73.98843,424
Q01064741-S1,5000.0,BK CONSTRUCTIONDBA SRT CONSTRUCTION,2024-10-25 00:00:00,4208839,4208839,40.703492,-73.799838,9756
B00854112-S1,6000.0,TOMASHOVER CONG,2024-01-23 00:00:00,3179500,3179500,40.627282,-73.964407,6705
Q08019869-S1,1000.0,FOREVER TEA INC,2023-01-26 00:00:00,4087555,4087555,40.709562,-73.898806,3611
M00888070-I1,30000.0,GUIDANCE REALTY CORPORATION,2023-09-18 00:00:00,1031957,1031957,40.783454,-73.976908,1211
