t1_building_manager,t3_building_manager,city_council_district,total_units,of_res_units,category,count,avg_value,total_value,max_value
77 PARK AVE. CONDOMINIUM,77 PARK AVE. CONDOMINIUM,4,106,106,very_high_usage,1,168356.0,168356,168356
PARISH OF TRINITY CHURCH,PARISH OF TRINITY CHURCH,3,0,0,moderate_or_low_usage,1,41063.0,41063,41063
"CHELSEA 25, LLC","CHELSEA 25, LLC",3,69,69,moderate_or_low_usage,1,44457.0,44457,44457
JENEL MANAGMENT,JENEL MANAGMENT,3,18,0,high_usage,1,50820.0,50820,50820
MIRANDA REALTY ASSOC.,MIRANDA REALTY ASSOC.,3,46,7,high_usage,1,86140.0,86140,86140
BROCROS REALTY,BROCROS REALTY,1,24,0,moderate_or_low_usage,1,14500.0,14500,14500
470P.A.ASSOC/S.L.GREEN MG,470P.A.ASSOC/S.L.GREEN MG,2,31,0,high_usage,1,73913.0,73913,73913
55 PARK TENANTS CORP.,55 PARK TENANTS CORP.,3,33,32,moderate_or_low_usage,1,32850.0,32850,32850
130 WEST 57 STREET CO,130 WEST 57 STREET CO,4,85,10,moderate_or_low_usage,1,45990.0,45990,45990
CONCOURSE MGMT/BLDG MGMT INC.,CONCOURSE MGMT/BLDG MGMT INC.,3,0,0,moderate_or_low_usage,1,29200.0,29200,29200
T.U.C. MANAGEMENT CO.INC.,T.U.C. MANAGEMENT CO.INC.,4,31,31,moderate_or_low_usage,1,14746.0,14746,14746
HELMSLEY SPEAR INC.,HELMSLEY SPEAR INC.,3,19,0,high_usage,1,120085.0,120085,120085
"TUR,JOSE","TUR,JOSE",10,30,30,moderate_or_low_usage,1,21900.0,21900,21900
MANCHESTER WEST 36 LLC,MANCHESTER WEST 36 LLC,3,15,0,high_usage,1,56575.0,56575,56575
ENF. 11/20/92,ENF. 11/20/92,1,6,0,moderate_or_low_usage,1,26280.0,26280,26280
REAL ESTATE INDUSTRIAL INC.,REAL ESTATE INDUSTRIAL INC.,3,3,0,high_usage,1,78840.0,78840,78840
227 TENANTS CORP.,227 TENANTS CORP.,6,22,22,moderate_or_low_usage,1,19856.0,19856,19856
WEST 63 EMPIRE ASSOCIATES LLC,WEST 63 EMPIRE ASSOCIATES LLC,6,7,0,high_usage,1,93294.0,93294,93294
CARL S YOUNG,CARL S YOUNG,10,72,72,high_usage,1,54896.0,54896,54896
OUR LADY OF POMPEI R.C.CHURCH,OUR LADY OF POMPEI R.C.CHURCH,3,4,0,moderate_or_low_usage,1,37800.0,37800,37800
110 W.40 JOINT VENTURE,110 W.40 JOINT VENTURE,3,114,0,high_usage,1,57720.0,57720,57720
LEE KWAN CHAH,LEE KWAN CHAH,3,25,0,moderate_or_low_usage,1,14800.0,14800,14800
"LEIST,FRED","LEIST,FRED",14,67,67,moderate_or_low_usage,1,21079.0,21079,21079
JEFFREY MANAGEMENT,JEFFREY MANAGEMENT,1,68,0,very_high_usage,1,205312.0,205312,205312
162 ASSOCIATES LLCC/O MUTRRY HILL,162 ASSOCIATES LLCC/O MUTRRY HILL,3,7,0,moderate_or_low_usage,1,49056.0,49056,49056
NEW BEDFORD MGMT,NEW BEDFORD MGMT,3,133,130,high_usage,1,54604.0,54604,54604
ONE FIFTH AVE APT/INSIGNIA RESIDENT,ONE FIFTH AVE APT/INSIGNIA RESIDENT,1,200,198,very_high_usage,2,164250.0,328500,164250
HUNTER COLLEGE,HUNTER COLLEGE,3,0,0,moderate_or_low_usage,1,0.0,0,0
THREE O REALTY LLC,THREE O REALTY LLC,3,58,0,moderate_or_low_usage,1,40824.0,40824,40824
MOSHE GLICKMAN,MOSHE GLICKMAN,6,37,37,high_usage,1,59447.0,59447,59447
CAPITAL BUILDING LOFT CORP.,CAPITAL BUILDING LOFT CORP.,3,43,0,moderate_or_low_usage,1,33600.0,33600,33600
CHARLES STREET ASSOCIATES,CHARLES STREET ASSOCIATES,3,19,18,moderate_or_low_usage,1,23360.0,23360,23360
RANDAL HSE. OWNERS % AKAM ASSOC.,RANDAL HSE. OWNERS % AKAM ASSOC.,2,235,229,high_usage,1,82125.0,82125,82125
MURRAY HILL OWNERS CO.,MURRAY HILL OWNERS CO.,3,35,35,high_usage,1,57232.0,57232,57232
119 FIFTH AVE.CORP.,119 FIFTH AVE.CORP.,2,9,2,moderate_or_low_usage,1,29740.0,29740,29740
R.G.A. AGENT/38 WEST 32 ASSOCIATES,R.G.A. AGENT/38 WEST 32 ASSOCIATES,3,76,0,high_usage,1,66000.0,66000,66000
MARTY MYERS/EDWIN,MARTY MYERS/EDWIN,3,23,22,moderate_or_low_usage,1,21000.0,21000,21000
WASSERSTEIN BROS,WASSERSTEIN BROS,3,28,0,high_usage,1,52871.0,52871,52871
MOCAL ENTERPRISES INC.,MOCAL ENTERPRISES INC.,3,100,0,high_usage,1,81304.0,81304,81304
PR 30 LLC,PR 30 LLC,3,12,12,moderate_or_low_usage,1,21681.0,21681,21681
GVA WILLIAMS REAL ESTATE CO.,GVA WILLIAMS REAL ESTATE CO.,3,13,0,moderate_or_low_usage,1,16470.0,16470,16470
MARTIN BAUMRIND,MARTIN BAUMRIND,3,10,10,moderate_or_low_usage,1,26953.0,26953,26953
29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,3,14,0,moderate_or_low_usage,1,25800.0,25800,25800
CHARLES H. GREENTHAL,CHARLES H. GREENTHAL,6,376,376,very_high_usage,1,269969.0,269969,269969
CHURCH MANAGEMENT,CHURCH MANAGEMENT,3,229,224,very_high_usage,1,168356.0,168356,168356
ELO EQUITIES LLC,ELO EQUITIES LLC,3,2,0,moderate_or_low_usage,1,24500.0,24500,24500
ESTATE OF EDWIN S. LOWE/CHASE MAN,ESTATE OF EDWIN S. LOWE/CHASE MAN,3,22,0,high_usage,1,82125.0,82125,82125
ONE HUDSON PARK INC,ONE HUDSON PARK INC,1,33,25,high_usage,1,75555.0,75555,75555
DEZER PROPERTIES,DEZER PROPERTIES,3,1,0,moderate_or_low_usage,1,33375.0,33375,33375
12 E 12 STREET CONDO,12 E 12 STREET CONDO,2,27,26,moderate_or_low_usage,1,38115.0,38115,38115
