t1_property_name,t3_property_name,city,office_computer_density_number,target_site_eui_kbtu_ft,energy_alerts,supermarket_grocery_percent
One Wall,One Wall,New York,Not Available,0,Less than 1 year of data<br>,Not Available
110 Post,110 Post,New York,Not Available,0,Less than 1 year of data<br>Data > 120 days old<br>Temporary values used for meter entries<br>> 65 days in electrical meter entry<br>,Not Available
Riverbridge Court Condominium,Riverbridge Court Condominium,New York,Not Available,0,Not Available,Not Available
201 West 72nd Street - The Alexandria House Condominium,201 West 72nd Street - The Alexandria House Condominium,New York,Not Available,0,Not Available,Not Available
Gotham Towne House Owners Corporation,Gotham Towne House Owners Corporation,New York,Not Available,0,Not Available,Not Available
520 East 72nd Street,520 East 72nd Street,New York,Not Available,0,Data > 120 days old<br>,Not Available
327 Central Park West Condominium,327 Central Park West Condominium,New York,Not Available,0,Not Available,Not Available
891 Park Avenue Corp,891 Park Avenue Corp,New York,Not Available,0,Not Available,Not Available
838 Fifth Avenue Condominium,838 Fifth Avenue Condominium,New York,Not Available,0,Not Available,Not Available
930 St. Nicholas Owners Corp.,930 St. Nicholas Owners Corp.,New York,Not Available,0,Not Available,Not Available
