property_id_1,property_id_1,total_electricity_use_grid_purchase_2
2703161,2703161,3092591.0
4041531,4041531,4939856.1
2640850,2640850,18711056.6
2710362,2710362,5346310.6
2942054,2942054,1927126.6
6212669,6212669,577277.3
2975830,2975830,1460837.6
6276753,6276753,
2674887,2674887,14669112.7
6182209,6182209,1051476.0
2731076,2731076,
2942073,2942073,1628687.8
2587536,2587536,652804.7
6236828,6236828,30533.7
6190886,6190886,172311.0
2989315,2989315,3310988.8
2665684,2665684,4667865.1
3117707,3117707,2849914.3
6011246,6011246,357323.7
6151465,6151465,50811504.0
2664118,2664118,29697682.9
3524382,3524382,334421.8
5237199,5237199,16213.8
3113637,3113637,20643084.6
6198641,6198641,245809.0
6222514,6222514,1015421.4
3382694,3382694,1857629.3
2947162,2947162,2094761.2
6223345,6223345,66542.3
2817671,2817671,2660442.8
2809319,2809319,
6128972,6128972,
2936772,2936772,
4043349,4043349,8988402.2
6245205,6245205,6085452.1
2786510,2786510,676989.3
6299476,6299476,
2649752,2649752,1667321.6
5793733,5793733,2384042.9
5766730,5766730,6712632.3
3108824,3108824,3946479.6
5078536,5078536,4567435.0
4401675,4401675,45545027.4
2702022,2702022,32269000.2
3488156,3488156,1087776.6
2941942,2941942,
4401809,4401809,109029470.39999999
4407826,4407826,6795008.2
2646028,2646028,24354115.6
1819837,1819837,3554618.2
