permitservicecompany,trailerstate,endcity,total,count,average
"New York Truck Escorts & Permits, Inc.",NY,,13.06,1,13.06
Ruth Novoa - Film,PA,Queens,13.06,1,13.06
John McMorrow 817,GA,MANHATTAN,13.06,1,13.06
Ambika DOT Service   -  DD,NJ,Brooklyn,13.06,1,13.06
Blue Bloods,PA,brooklyn,13.06,1,13.06
Anslem King 817         DD,PA,New York,13.06,1,13.06
edwindiaz817,GA,Queens,13.06,1,13.06
Ryan Cooke 817 DD,PA,MANHATTAN,13.06,1,13.06
Blue Bloods,PA,Brooklyn,13.06,1,13.06
All Mobile Video,NY,New York,13.04,1,13.04
High Wide & Heavy Oversize Escorts LLC,,MANHATTAN,13.01,1,13.01
"New York Truck Escorts & Permits, Inc.",,MANHATTAN,13.01,1,13.01
"Planned Parenthood of New York City, Inc.",,Bronx,13.0,1,13.0
Patrick McGuinness 817,GA,New York,13.0,1,13.0
West Chester Permit LLc,ME,BROOKLYN,13.0,1,13.0
"New York Truck Escorts & Permits, Inc.",,BROOKLYN,12.08,1,12.08
Edward Terriaca 817,GA,Brooklyn,12.06,1,12.06
"New York Truck Escorts & Permits, Inc.",NJ,BROOKLYN,11.01,1,11.01
NJ Routing and Logistics,ME,MASPETH,10.06,1,10.06
"Comdata Network, Inc.",NJ,,10.05,1,10.05
Custom Permit Service Company,NY,,10.0,1,10.0
THE PERMIT COMPANY,ME,THE BRONX,8.0,1,8.0
Shieed P Jones 817 Films,PA,Staten Island,8.0,1,8.0
HARRIS CAMDEN  TERMINAL EQUIPMENT CO,NJ,MANHATTAN,7.636000000000001,5,7.636000000000001
Muthers Pilot Car Services,PA,,7.53,2,7.53
John M Hicks 817 DD,GA,BROOKLYN,7.0,1,7.0
HARRIS CAMDEN  TERMINAL EQUIPMENT CO,NJ,BROOKLYN,6.0,1,6.0
"Elite Motor Carrier Escort, LLC.",WA,,5.0,1,5.0
High Wide & Heavy Oversize Escorts LLC,NH,,5.0,1,5.0
BARKINGDOG ESCORTS AND PERMITS,AL,,5.0,1,5.0
HARRIS CAMDEN  TERMINAL EQUIPMENT CO,NJ,,3.2159999999999997,5,3.2159999999999997
High Wide & Heavy Oversize Escorts LLC,NJ,,3.0,1,3.0
"New York Truck Escorts & Permits, Inc.",PA,,3.0,1,3.0
"New York Truck Escorts & Permits, Inc.",ME,MANHATTAN,3.0,1,3.0
"New York Truck Escorts & Permits, Inc.",ON,,3.0,1,3.0
NJ Routing and Logistics,ME,,3.0,1,3.0
THE PERMIT COMPANY,ME,,3.0,1,3.0
NYC Dept of Sanitation,NY,Bronx,2.01,1,2.01
JAMIE J HILL  DBA GATOR PERMITS,PA,,1.06,1,1.06
Con Edison Of New York,NY,Bronx,1.06,1,1.06
Muthers Pilot Car Services,NY,,1.0,1,1.0
