pops_number,building_address_with_zip,building_location,amenities_required,tax_lot,physically_disabled,public_space_type,rank,dense_rank
M060012,"200 EAST 24 STREET, New York, NY 10010",Southeast corner of East 24th Street and Third Avenue,,50.0,Full/Partial,Plaza,1,1
M070006,"201 WEST 70 STREET, New York, NY 10023",Full blockfront on west side of Broadway between West 70th and 71st Streets,,29.0,Full/Partial,Plaza,1,2
M060045,"212 EAST 47 STREET, New York, NY 10017",South side of East 47th Street between Second and Third Avenues,,7506.0,Full/Partial,Plaza,1,3
M060017,"222 EAST 39 STREET, New York, NY 10016",South side of East 39th Street between Second and Third Avenues,Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space,42.0,Full/Partial,Plaza,1,4
M080056,"353 EAST 83 STREET, New York, NY 10028",Northwest corner of First Avenue and East 83rd Street,,23.0,Full/Partial,Plaza,1,5
M050055,"1133 SIXTH AVENUE, New York, NY 10036",Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,Litter Receptacles; Planting; Plaque/Sign; Seating,29.0,Full/Partial,Plaza,1,6
M060028,"141 EAST 48 STREET, New York, NY 10017",North side of East 48th Street between Third and Lexington Avenues,Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,7501.0,Full/Partial,Pedestrian Circulation Space; Urban Plaza,1,1
M050064,"1 PENNSYLVANIA PLAZA, New York, NY 10119",Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space,70.0,Full/Partial,Arcade; Plaza,1,1
M080006,"733 PARK AVENUE, New York, NY 10021",Southeast corner of Park Avenue and East 71st Street,,72.0,Full/Partial,Arcade; Plaza,1,2
M050071,"108 FIFTH AVENUE, New York, NY 10011",Southwest corner of West 16th Street Fifth Avenue,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature,7501.0,Full/Partial,Residential Plaza,1,1
M080039,"171 EAST 84 STREET, New York, NY 10028",Northwest corner of Third Avenue and East 84th Street,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees within Space; Water Feature,7501.0,Full/Partial,Residential Plaza,1,2
M110001,"175 EAST 96 STREET, New York, NY 10128",Northwest corner of Third Avenue and East 96th Street,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,33.0,Full/Partial,Residential Plaza,1,3
M080019,"300 EAST 62 STREET, New York, NY 10065",Southeast corner of Second Avenue and East 62nd Street,Artwork; Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,7501.0,Full/Partial,Residential Plaza,1,4
M060082,"401 EAST 34 STREET, New York, NY 10016","Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street",Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space,1.0,Full/Partial,Residential Plaza,1,5
M080098,"422 EAST 72 STREET, New York, NY 10021","South side of East 72nd Street between First and York Avenues. Original BBL: 1466/29, 31, 1001-1208.",Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Plaque/Sign; Seating; Trees on Street; Trees within Space,7501.0,Full/Partial,Residential Plaza,1,6
M050038,"1633 BROADWAY, New York, NY 10019",West side of Broadway between West 50th and 51st Streets,Bicycle Parking; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Subway; Tables; Trees within Space,43.0,Full/Partial,Special Permit Arcade; Special Permit Plaza; Underground Concourse,1,1
M060039,"212 EAST 42 STREET, New York, NY 10017",South side of East 42nd Street between Second and Third Avenues,Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space,44.0,Full/Partial,Urban Plaza,1,1
M050047,"1211 SIXTH AVENUE, New York, NY 10036",West side of Sixth Avenue between West 47th and 48th Streets,Escalator; Lighting; None; Retail Frontage; Subway,29.0,Full/Partial,Plaza; Subway Concourse; Through Block Arcade,1,1
