parking_partially_enclosed,retail_store_worker_density,bank_branch_number_of_workers,category,count,avg_value,total_value,max_value
Not Available,1.21,Not Available,very_large,1,592677.0,592677,592677
0,Not Available,10,large,1,376326.0,376326,376326
0,Not Available,Not Available,large,1,172396.0,172396,172396
Not Available,Not Available,2220,very_large,2,1112533.0,2225066,1112533
Not Available,1.17,Not Available,large,1,110900.0,110900,110900
Not Available,0.72,Not Available,small,1,68781.0,68781,68781
0,1,Not Available,large,1,135849.0,135849,135849
Not Available,Not Available,Not Available,very_large,2,785889.5,1571779,981408
Not Available,0.27,Not Available,large,1,197645.0,197645,197645
Not Available,5.13,Not Available,large,1,356686.0,356686,356686
Not Available,1.18,36,very_large,1,1711084.0,1711084,1711084
Not Available,1.59,Not Available,very_large,1,1601977.0,1601977,1601977
Not Available,Not Available,Not Available,large,17,200030.0588235294,3400511,429866
Not Available,1,Not Available,small,1,77000.0,77000,77000
305427,0.64,Not Available,large,1,143876.0,143876,143876
Not Available,1.61,Not Available,large,1,102562.0,102562,102562
Not Available,Not Available,Not Available,small,34,61217.794117647056,2081405,99232
Not Available,1.14,Not Available,very_large,1,1071012.0,1071012,1071012
Not Available,3.28,0,very_large,1,1042298.0,1042298,1042298
16946,Not Available,Not Available,large,1,348363.0,348363,348363
