job_filing_number,work_item_count,floor_id,to_floor,item_quantity,floor_kva
Q00094590-I1-EL,1,FF9E8962-17DD-E811-811A-005056B627E6,,160.0,0
Q00110910-I1-EL,146,0,,5.0,0
M00048916-I1-EL,146,0,,4.0,0
M00017097-I1-EL,146,0,,1.0,0
M00129674-I1-EL,146,0,,15.0,0
Q00031510-I1-EL,146,0,,2.0,0
M00151878-I1-EL,1,F78C27F6-0B5A-E911-8120-005056B627E6,6.0,146.0,0
M00086802-I1-EL,146,0,,18.0,0
Q00148178-I1-EL,1,FF90011B-0D52-E911-8120-005056B627E4,,169.0,0
B00057237-I1-EL,146,0,,2.0,0
M00010953-P1,1,3A934D7E-5D22-E811-8117-005056B627E4,,8.0,0
M00056524-I1-EL,146,0,,43.0,0
B00113302-I1-EL,146,0,,1.0,0
M00021133-I1-EL,146,0,,2.0,0
M00110249-I1-EL,2,FF0E544E-A0FF-E811-811C-005056B627E4,20.0,28.0,0
M00066228-I1-EL,146,0,,4.0,0
S00030450-I1-EL,146,0,,1.0,0
X00080477-I1-EL,146,0,,1.0,0
X00038684-I1-EL,146,0,,2.0,0
Q00023122-S1-EL,1,690C9775-5721-E811-8117-005056B627E4,,20.0,0
Q00095186-I1-EL,1,BF3D7914-FADD-E811-811A-005056B627E6,,251.0,20
B00006279-P2,146,0,,4.0,0
B00021428-I1-EL,2,190FF191-3F17-E811-8117-005056B627E4,3.0,242.0,0
Q00154457-I1-EL,146,0,,4.0,0
X00066440-I1-EL,146,0,,1.0,0
X00120385-I1-EL,1,002BF73A-F319-E911-811D-8CFAEDA547D3,1.0,93.0,0
X00071214-I1-EL,146,0,,1.0,0
Q00109399-I1-EL,146,0,,1.0,0
B00022415-P1,1,FFD511FC-252A-E811-8117-005056B627E4,,157.0,0
S00111165-I1-EL,2,00176498-4302-E911-811C-005056B627E4,2.0,72.0,0
X00099962-I1-EL,146,0,,1.0,0
Q00084789-I1-EL,1,D77CDDDF-3AC7-E811-811B-005056B627E4,1.0,205.0,0
Q00024949-I1-EL,1,91BCA85D-7C21-E811-8117-005056B627E4,,29.0,0
B00020834-P1,146,0,,1.0,0
B00140882-I1-EL,146,0,,29.0,0
Q00139707-I1-EL,146,0,,1.0,0
M00149313-I1-EL,1,FFC3AABE-8D55-E911-8120-005056B627E4,1.0,497.0,0
Q00148726-I1-EL,1,FFC09EAC-F153-E911-8120-005056B627E4,,98.0,0
Q00062773-I1-EL,146,0,,2.0,0
Q00102407-I1-EL,146,0,,1.0,0
M00049832-I1-EL,4,DE7F7D43-0568-E811-8119-005056B627E6,14.0,3742.0,0
M00028669-I1-EL,146,0,,1.0,0
M00037236-I1-EL,1,FFEC446D-ED44-E811-8117-005056B627E4,7.0,47.0,0
S00013685-I1-EL,146,0,,1.0,0
Q00011903-I1-EL,146,0,,1.0,0
B00070958-I1-EL,146,0,,1.0,0
M00057830-P2,146,0,,1.0,0
B00021609-I1-EL,146,0,,4.0,0
X00005975-I1-EL,146,0,,1.0,0
M00102760-I1-EL,146,0,,1.0,0
