block,bin,t5_block,t3_bin,initial_cost,signoff_date,total_construction_floor_area,filing_representative_business_name
1382,1041224,1382,1041224,1000.0,2020-10-07 00:00:00,3500.0,
1211,1031957,1211,1031957,30000.0,2023-09-18 00:00:00,500.0,
1142,3418229,1142,3418229,37500.0,2025-01-28 00:00:00,1800.0,
4355,3324292,4355,3324292,1574865.0,2025-03-18 00:00:00,78276.0,BETRO DESIGN GROUP
5111,3117411,5111,3117411,10000.0,2025-12-15 00:00:00,756.0,ADVANCED BUILDERS SERVICES
1089,1085962,1089,1085962,70000.0,2022-05-02 00:00:00,7500.0,"ARCHETYPE CONSULTANTS, INC."
1234,1033197,1234,1033197,100000.0,2023-09-11 00:00:00,2617.0,WILLIAM VITACCO ASSOCIATES
1786,3049850,1786,3049850,7000.0,2020-10-16 00:00:00,0.0,DANICO SERVICES INC
1261,1076258,1261,1076258,38850.0,2019-06-03 00:00:00,3186.0,MUNICIPAL BUILDING CONSULTANTS
1261,1034248,1261,1034248,4000.0,2019-06-03 00:00:00,0.0,HH BUILDING CONSUTING & ARCHITECTUR
3357,3342331,3357,3342331,57438.0,2024-04-11 00:00:00,,SUNCO CAPITAL LLC
646,1090681,646,1090681,110000.0,2023-02-17 00:00:00,1095.0,WILLIAM VITACCO ASSOCIATES
2411,3425954,2411,3425954,100.0,2023-04-27 00:00:00,4.0,LOUIS STRIAR INC.
2449,2002572,2449,2002572,150000.0,2024-06-24 00:00:00,10465.0,SALLY LOVE ASSOCIATES INC.
5309,3404524,5309,3404524,10000.0,2024-03-14 00:00:00,320.0,AVALON DESIGNS INC
9756,4208839,9756,4208839,5000.0,2024-10-25 00:00:00,1.0,BK CONSTRUCTIONDBA SRT CONSTRUCTION
3087,2012452,3087,2012452,6000.0,2022-12-27 00:00:00,250.0,
14260,4617247,14260,4617247,1150.0,2019-09-10 00:00:00,23.0,BUILDING BROTHERS INC.
1273,1035071,1273,1035071,101372.6,2025-01-13 00:00:00,7030.0,CodeGreen
1290,1035741,1290,1035741,1.0,2023-12-29 00:00:00,91210.0,SPRING SCAFFOLDING LLC
6705,3179500,6705,3179500,6000.0,2024-01-23 00:00:00,1500.0,
684,3340150,684,3340150,20000.0,2024-01-05 00:00:00,356.0,
1390,3418117,1390,3418117,4000.0,2024-02-23 00:00:00,0.0,"HAIDER ENGINEERING, P.E."
3611,4087555,3611,4087555,1000.0,2023-01-26 00:00:00,1110.0,TIMES BUILDINGS ENGINEERING SERVICE
