truckstate,trailerstate,endstate,endcity,total,count,average
NJ,NJ,NY,,434586,7,62083.71428571428
NJ,NJ,NY,MANHATTAN,380150,3,126716.66666666667
NY,,NY,MANHATTAN,316800,2,158400.0
PA,NJ,NY,MANHATTAN,228750,2,114375.0
NY,ME,NY,MANHATTAN,164380,1,164380.0
NJ,NJ,NY,BROOKLYN,161660,1,161660.0
NY,,NY,BROOKLYN,156664,1,156664.0
VT,ME,NY,THE BRONX,119000,1,119000.0
NY,NY,NY,Bronx,104100,2,52050.0
CT,ME,NY,BROOKLYN,79000,1,79000.0
PA,NJ,NY,BROOKLYN,78000,1,78000.0
NY,NY,NY,,76950,2,38475.0
GA,GA,NY,MANHATTAN,75000,1,75000.0
IN,PA,NY,,70000,1,70000.0
PA,PA,NY,Staten Island,67000,1,67000.0
NY,NY,NY,New York,65100,1,65100.0
NJ,ME,NY,MASPETH,63300,1,63300.0
NJ,NJ,NY,Brooklyn,60000,1,60000.0
MN,AL,NY,,57000,1,57000.0
GA,GA,NY,BROOKLYN,56834,1,56834.0
PA,PA,NY,Queens,55000,1,55000.0
PA,PA,NY,brooklyn,53080,1,53080.0
PA,PA,NY,Brooklyn,53080,1,53080.0
IN,NY,NY,,49000,1,49000.0
IL,PA,NY,,49000,1,49000.0
GA,GA,NY,Brooklyn,47000,1,47000.0
PA,PA,NY,New York,46500,1,46500.0
NJ,NH,NY,,45000,1,45000.0
PA,PA,NY,MANHATTAN,44197,1,44197.0
PA,PA,NY,,42000,1,42000.0
NJ,ME,NY,,41000,1,41000.0
VT,ME,NY,,40000,1,40000.0
WA,WA,NY,,36500,1,36500.0
GA,GA,NY,Queens,34900,1,34900.0
IN,ON,NY,,33000,1,33000.0
IA,PA,NY,,32000,1,32000.0
NY,,NY,Bronx,27500,1,27500.0
GA,GA,NY,New York,24350,1,24350.0
