property_id_1,water_score_multifamily_only,financial_office_computer,other_computer_density_number,category,count,avg_value,total_value,max_value
2817671,,,,Medium usage,4,665110.7,2660442.8,665110.7
6151465,,,,High usage,1,50811504.0,50811504.0,50811504.0
2710362,,,,High usage,1,5346310.6,5346310.6,5346310.6
3382694,,,,High usage,1,1857629.3,1857629.3,1857629.3
3117707,,,,High usage,1,2849914.3,2849914.3,2849914.3
2942054,,,,High usage,1,1927126.6,1927126.6,1927126.6
4041531,,,,High usage,1,4939856.1,4939856.1,4939856.1
3113637,,,,High usage,6,3440514.1,20643084.6,3440514.1
6011246,,,,Low usage,1,357323.7,357323.7,357323.7
6190886,1.0,,,Low usage,2,86155.5,172311.0,86155.5
2649752,,,0.0683,High usage,1,1667321.6,1667321.6,1667321.6
5793733,75.0,,,High usage,1,2384042.9,2384042.9,2384042.9
2703161,,,,High usage,2,1546295.5,3092591.0,1546295.5
5237199,,,0.39695,Low usage,1,16213.8,16213.8,16213.8
6222514,,,,High usage,1,1015421.4,1015421.4,1015421.4
3488156,,,,High usage,1,1087776.6,1087776.6,1087776.6
3524382,,,,Low usage,1,334421.8,334421.8,334421.8
6245205,,,,High usage,1,6085452.1,6085452.1,6085452.1
2664118,,,,High usage,1,29697682.9,29697682.9,29697682.9
2674887,,,,High usage,1,14669112.7,14669112.7,14669112.7
6182209,,,,High usage,1,1051476.0,1051476.0,1051476.0
1819837,,,,High usage,1,3554618.2,3554618.2,3554618.2
2665684,,,,High usage,1,4667865.1,4667865.1,4667865.1
5766730,,,,High usage,1,6712632.3,6712632.3,6712632.3
6223345,,,,Low usage,1,66542.3,66542.3,66542.3
4043349,,,,High usage,1,8988402.2,8988402.2,8988402.2
2947162,,,,High usage,1,2094761.2,2094761.2,2094761.2
2640850,,,,High usage,1,18711056.6,18711056.6,18711056.6
5078536,,,1.71429,High usage,2,2283717.5,4567435.0,2283717.5
6236828,,,,Low usage,1,30533.7,30533.7,30533.7
4401675,,,,High usage,2,22772513.7,45545027.4,22772513.7
3108824,,,,High usage,1,3946479.6,3946479.6,3946479.6
2646028,,,,High usage,1,24354115.6,24354115.6,24354115.6
2587536,,,,Medium usage,1,652804.7,652804.7,652804.7
2975830,,,,Medium usage,2,730418.8,1460837.6,730418.8
2702022,,,,High usage,1,32269000.2,32269000.2,32269000.2
6198641,,,0.73251,Low usage,1,245809.0,245809.0,245809.0
2989315,,,,High usage,1,3310988.8,3310988.8,3310988.8
4407826,,,,High usage,1,6795008.2,6795008.2,6795008.2
2786510,,,,Medium usage,1,676989.3,676989.3,676989.3
4401809,,2.30468,,High usage,3,36343156.8,109029470.39999999,36343156.8
2942073,,,,High usage,1,1628687.8,1628687.8,1628687.8
6212669,,,,Medium usage,1,577277.3,577277.3,577277.3
