providername,l1,total,count,average
Food Bank For New York City,English,3000186,3,1000062.0
MMCC,"""English, Spanish""",1027079,1,1027079.0
Urban Upbound,"""English, Spanish""",1004780,1,1004780.0
Food Bank For New York City,"""English, Spanish""",1001508,1,1001508.0
Grow Brooklyn,English,999627,1,999627.0
Grow Brooklyn,"""English, Spanish, Russian""",998843,1,998843.0
AARP Tax Aide,"""English, Spanish""",983526,1,983526.0
