borough,postcode,category,count,avg_value,total_value,max_value
1,10022.0,high value,1,78800007.0,78800007,78800007
1,10011.0,low value,4,6352499.0,25409996,14200000
1,10002.0,low value,2,5924999.0,11849998,9740000
1,10024.0,medium value,1,29900000.0,29900000,29900000
1,10016.0,medium value,1,20099989.0,20099989,20099989
1,10018.0,medium value,1,22100002.0,22100002,22100002
1,10005.0,low value,1,19000009.0,19000009,19000009
1,10007.0,low value,1,14600007.0,14600007,14600007
1,10001.0,low value,1,19900004.0,19900004,19900004
1,10021.0,low value,2,9480001.0,18960002,15699998
1,10017.0,medium value,3,34833335.666666664,104500007,41499997
1,10280.0,high value,2,111499974.5,222999949,114999983
1,10017.0,high value,1,252999996.0,252999996,252999996
1,10012.0,low value,2,3671433.0,7342866,5362866
1,10003.0,low value,1,8570000.0,8570000,8570000
1,10022.0,medium value,1,44000000.0,44000000,44000000
1,10128.0,low value,1,3939996.0,3939996,3939996
1,10022.0,low value,2,10260003.0,20520006,11300002
1,10038.0,low value,1,11600000.0,11600000,11600000
1,10013.0,low value,4,9187502.0,36750008,14900002
1,10036.0,medium value,1,26600017.0,26600017,26600017
1,10010.0,low value,2,9620000.0,19240000,11000000
1,10023.0,high value,3,63899991.333333336,191699974,69299975
1,10011.0,medium value,1,20100007.0,20100007,20100007
1,10010.0,high value,3,60766684.0,182300052,78400071
1,10023.0,low value,1,8190004.0,8190004,8190004
1,10069.0,high value,1,58100023.0,58100023,58100023
1,10024.0,low value,1,12100007.0,12100007,12100007
1,10004.0,high value,1,91199996.0,91199996,91199996
1,10019.0,low value,2,2743000.5,5486001,4580001
1,10065.0,low value,1,16100000.0,16100000,16100000
