boroughcode,citycouncil,sanitationzone,category,count,avg_value,total_value,max_value
Staten Island,50.0,5023C,no overhead utilities,1,,,
Staten Island,50.0,5021E,no overhead utilities,7,,,
Staten Island,49.0,5011D,no overhead utilities,8,,,
Staten Island,50.0,5031D,no overhead utilities,34,,,
Staten Island,49.0,5023C,no overhead utilities,13,,,
Staten Island,51.0,5037E,no overhead utilities,1,,,
Staten Island,49.0,5013C,no overhead utilities,1,,,
Staten Island,49.0,5011E,no overhead utilities,11,,,
