job_number,bin,bin,job_number,total_estimated_cost
M00106968,1051463,1051463,M00106968,5850.0
S00336735,5000084,5000084,S00336735,22750.0
M00419982,1060086,1060086,M00419982,85000.0
M00797302,1035071,1035071,M00797302,7535.8
X00852654,2084091,2084091,X00852654,9923.0
M00273794,1015090,1015090,M00273794,1700000.0
X00078681,2097111,2097111,X00078681,11625.0
Q00066626,4050482,4050482,Q00066626,142140.0
M01250318,1059091,1059091,M01250318,22000.0
M00157068,1083719,1083719,M00157068,165400.0
B00850861,3131067,3131067,B00850861,513000.0
Q00259911,4299223,4299223,Q00259911,10000.0
M00513706,1019460,1019460,M00513706,88000.0
M00166408,1077350,1077350,M00166408,30000.0
B00323914,3117604,3117604,B00323914,10000.0
M01215333,1005750,1005750,M01215333,247320.0
M00248017,1035768,1035768,M00248017,13348.0
X00805379,2004359,2004359,X00805379,11500.0
M00324727,1024782,1024782,M00324727,16500.0
M00547319,1030136,1030136,M00547319,11860.0
B00244888,3322342,3322342,B00244888,9000.0
M00908898,1091812,1091812,M00908898,750000.0
M00316853,1030358,1030358,M00316853,37600.0
M00269656,1034220,1034220,M00269656,3500.0
Q00462228,4043827,4043827,Q00462228,147756.0
X00319354,2129416,2129416,X00319354,220000.0
B00532012,3400021,3400021,B00532012,853000.0
M00338935,1026725,1026725,M00338935,400000.0
M00134815,1085969,1085969,M00134815,1073750.0
M00546215,1014343,1014343,M00546215,34300.0
Q00525110,4623857,4623857,Q00525110,20000.0
B00376773,3179402,3179402,B00376773,10000.0
S00518084,5048706,5048706,S00518084,14440.0
B00147251,3328017,3328017,B00147251,72000.0
B01184063,3002558,3002558,B01184063,2100000.0
M00243228,1012843,1012843,M00243228,20000.0
M00127101,1014511,1014511,M00127101,180000.0
M00871400,1079933,1079933,M00871400,7500.0
M00294915,1023157,1023157,M00294915,26953.0
M00023163,1090766,1090766,M00023163,225000.0
B00595356,3429520,3429520,B00595356,239000.0
S00169784,5015146,5015146,S00169784,30000.0
M00187497,1087243,1087243,M00187497,400000.0
M00288961,1090740,1090740,M00288961,20000.0
B00501807,3390899,3390899,B00501807,7000.0
M00236356,1003049,1003049,M00236356,3250.0
Q00325220,4006678,4006678,Q00325220,14000.0
Q00774126,4006948,4006948,Q00774126,96000.0
B00229594,3126157,3126157,B00229594,7000.0
M08050107,1091887,1091887,M08050107,10000.0
