tenantname,ownerstreetaddress,record_count,total_amount,avg_amount,max_amount,min_amount
Wendy Gall at the Canadian Consulate General,1251 Avenue of the Americas,1.0,5,1.0,1,1
Sanford Wittels & Heisler,1350 Avenue of the Americas,1.0,6,1.0,1,1
"Millhouse Peck Properties, LLC",420 Lexington Avenue,6.0,30,6.0,6,6
