nys_senate,commission,descriptio,nys_assemb,councildis,gstype,rank,dense_rank
21,2010-01-11 08:00:00+08:00,Park-Greenstreet,52,38,SA_Tri,1,1
15,1999-06-01 08:00:00+08:00,Greenstreet,23,32,,1,1
15,2000-12-01 08:00:00+08:00,Greenstreet,23,32,Greenstreet,1,1
"16, 11",2009-02-24 08:00:00+08:00,Greenstreet,25,24,,1,1
20,2014-09-04 08:00:00+08:00,"Vanderbilt Av Pedestrian Refuges, Park to Dean",57,35,Ped_Ref,1,1
36,2010-01-11 08:00:00+08:00,Greenstreet,80,13,,2,1
11,2000-12-01 08:00:00+08:00,Greenstreet,24,24,Greenstreet,4,1
11,1997-12-01 08:00:00+08:00,Greenstreet,24,23,Greenstreet,4,1
11,1999-06-01 08:00:00+08:00,Greenstreet,25,23,,2,2
11,1998-06-01 08:00:00+08:00,Greenstreet,25,23,Greenstreet,2,2
11,2000-06-01 08:00:00+08:00,Greenstreet,26,19,Greenstreet,5,3
11,2001-06-01 08:00:00+08:00,Greenstreet,26,19,,5,3
11,1999-06-01 08:00:00+08:00,Greenstreet,27,19,Greenstreet,4,4
11,1999-06-01 08:00:00+08:00,Greenstreet,40,19,Greenstreet,1,5
11,2001-12-01 08:00:00+08:00,Greenstreet,40,19,Ped_Ref,1,5
11,1999-06-01 08:00:00+08:00,Greenstreet,40,19,Greenstreet,1,5
16,2000-06-01 08:00:00+08:00,Atlantis Triangle,25,20,Greenstreet,1,1
16,2009-02-24 08:00:00+08:00,Greenstreet,25,24,,1,1
16,2009-02-24 08:00:00+08:00,Greenstreet,25,24,Greenstreet,1,1
16,2009-02-24 08:00:00+08:00,Handball Haven,35,21,SA_Tri,2,2
16,1997-06-01 08:00:00+08:00,Greenstreet,35,25,Greenstreet,1,2
17,2010-01-11 08:00:00+08:00,GREENSTREET-Flatbush Malls,"44, 42",45,Greenstreet,1,1
17,2010-01-11 08:00:00+08:00,GREENSTREET-Flatbush Malls,"44, 42",45,Greenstreet,1,1
34,2010-01-11 08:00:00+08:00,Greenstreet,80,13,Greenstreet,2,1
34,2010-01-11 08:00:00+08:00,Schneider-sampson Park,82,13,Greenstreet,1,2
34,2010-01-11 08:00:00+08:00,Olmsted Triangle,87,18,SA_Tri,1,3
33,2010-01-11 08:00:00+08:00,"Jerome Avenue, Parkview Terrace, and Morris Avenue",78,15,Greenstreet,1,1
33,2010-01-11 08:00:00+08:00,St Lawrence Triangle,87,18,SA_Tri,1,2
12,2001-06-01 08:00:00+08:00,Greenstreet,37,26,,1,1
12,1999-06-01 08:00:00+08:00,Greenstreet,37,26,TreeOnlyMed,1,1
18,2009-06-01 08:00:00+08:00,Patchen ave & Broadway,54,41,Greenstreet,1,1
27,2006-12-01 08:00:00+08:00,Greenwich Ave & 7th Ave,66,3,Greenstreet,2,1
27,2008-12-01 08:00:00+08:00,9th Avenue - 23rd st to 31 st,75,3,Ped_Ref,1,2
31,2010-01-11 08:00:00+08:00,Riverside Park-Greenstreet,70,7,TreeOnlyMed,1,1
14,2000-06-01 08:00:00+08:00,Greenstreet,27,29,Greenstreet,1,1
14,1997-06-01 08:00:00+08:00,Triangle,27,29,,1,1
14,1999-12-01 08:00:00+08:00,Greenstreet,29,31,,1,2
14,1999-12-01 08:00:00+08:00,Greenstreet,29,31,,1,2
14,2009-02-24 08:00:00+08:00,Greenstreet,29,23,,1,2
14,1999-12-01 08:00:00+08:00,Greenstreet,33,27,Greenstreet,1,3
29,2010-01-11 08:00:00+08:00,Greenstreet,68,8,,1,1
29,2010-01-11 08:00:00+08:00,University Malls,77,16,,1,2
13,1997-12-01 08:00:00+08:00,Greenstreet,30,26,Greenstreet,3,1
13,1999-12-01 08:00:00+08:00,"Greenstreet - Broadway, Northern, 53 Pl",30,26,Greenstreet,3,1
13,1999-06-01 08:00:00+08:00,Greenstreet,35,21,Greenstreet,2,2
13,2009-02-24 08:00:00+08:00,Flushing Meadows Park-Greenstreet,35,21,,2,2
13,2000-06-01 08:00:00+08:00,Greenstreet,35,21,,2,2
13,2001-06-01 08:00:00+08:00,Greenstreet,"35, 39",21,Greenstreet,1,3
26,2010-01-11 08:00:00+08:00,I L Peretz Square-Greenstreet,65,1,,2,1
26,2010-01-11 08:00:00+08:00,GREENSTREET,66,1,,1,2
