doitt_id,total_coundist,activated,location
3991,7.0,2018-01-12 00:00:00,2848 BROADWAY
65,1.0,9999-09-09 00:00:00,"90 Water Street, New York, NY 10005, USA"
3873,9.0,2016-10-14 00:00:00,2306 FREDERICK DOUGLASS BOULEVARD
11,9.0,9999-09-09 00:00:00,Amphitheater
510,1.0,9999-09-09 00:00:00,9 MURRAY STREET
820,6.0,9999-09-09 00:00:00,Park Area at W63rd & Columbus
3216,3.0,2016-07-21 00:00:00,301 WEST 57 STREET
4117,4.0,2018-04-04 00:00:00,159 WEST 52 STREET
1769,10.0,9999-09-09 00:00:00,181 St (1)
3646,1.0,2016-09-06 00:00:00,101 LAFAYETTE STREET
362,42.0,9999-09-09 00:00:00,1197 SUTTER AVENUE
3034,39.0,2017-08-15 00:00:00,304 5 AVENUE
4089,17.0,2018-01-12 00:00:00,487 EAST 156 STREET
1569,27.0,9999-09-09 00:00:00,IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER
4067,26.0,2018-03-14 00:00:00,36-35 33 STREET
1588,8.0,9999-09-09 00:00:00,116 St (6)
4653,34.0,2018-03-29 00:00:00,230 BERRY STREET
1112,32.0,9999-09-09 00:00:00,Beach 108 - Comfort Station and Beach
3126,2.0,2016-01-26 00:00:00,359 3 AVENUE
3530,6.0,2017-06-29 00:00:00,2601 BROADWAY
504,3.0,9999-09-09 00:00:00,40 WEST 20 STREET
3951,4.0,2018-10-18 00:00:00,22 EAST 69 STREET
4600,8.0,2018-07-02 00:00:00,211 ST ANN'S AVENUE
3558,4.0,2016-07-21 00:00:00,675 3 AVENUE
1550,4.0,9999-09-09 00:00:00,Times Square - 42nd Street
3677,4.0,2017-04-14 00:00:00,777 7 AVENUE
459,39.0,9999-09-09 00:00:00,431 6 AVENUE
1201,28.0,9999-09-09 00:00:00,North West side of Park
3568,7.0,2016-09-06 00:00:00,2943 BROADWAY
1236,16.0,9999-09-09 00:00:00,FRNT OF BASKET BALL COURT N/O E 170TH ST
895,39.0,9999-09-09 00:00:00,Skate Rental Area
3333,4.0,2017-10-16 00:00:00,1132 3 AVENUE
3534,7.0,2016-09-06 00:00:00,219 WEST 100 STREET
746,9.0,9999-09-09 00:00:00,Pole 49: 126NS2E8av
3248,3.0,2016-04-27 00:00:00,825 8 AVENUE
3469,40.0,2017-10-30 00:00:00,3301 CHURCH AVE
3960,6.0,2016-10-25 00:00:00,300 WEST 108 STREET
4294,8.0,2017-06-21 00:00:00,145 EAST 116 STREET
3963,34.0,2017-06-09 00:00:00,61 AVENUE OF PUERTO RICO
3347,4.0,2016-03-24 00:00:00,1330 3 AVENUE
3569,7.0,2017-03-13 00:00:00,2939 BROADWAY
4658,34.0,2018-03-30 00:00:00,2 POWERS STREET
794,9.0,9999-09-09 00:00:00,pole 18: 111NS2ELe
3423,6.0,2016-05-12 00:00:00,2135 BROADWAY
4055,38.0,2018-05-02 00:00:00,948 3 AVENUE
206,150.0,9999-09-09 00:00:00,Along Boardwalk and Beach
85,3.0,9999-09-09 00:00:00,18th between 8th and 9th
4336,2.0,2018-04-24 00:00:00,101 EAST 29 STREET
3108,2.0,2016-05-17 00:00:00,172 EAST 24 STREET
273,33.0,9999-09-09 00:00:00,1 Dekalb Ave.
