school_support_team_name,field_support_center_name,total,average,count
School Support Team 9- Bronx,Field Support Center - Bronx,2019,2019.0,1
School Support Team 4- Bronx,Field Support Center - Bronx,4038,2019.0,2
School Support Team 3- Bronx,Field Support Center - Bronx,4038,2019.0,2
School Support Team 4- Manhattan,Field Support Center - Manhattan,4038,2019.0,2
School Support Team 8- Bronx,Field Support Center - Bronx,2019,2019.0,1
,,16152,2019.0,8
School Support Team 1- Bronx,Field Support Center - Bronx,6057,2019.0,3
School Support Team 2- Brooklyn South,Field Support Center - Brooklyn South,2019,2019.0,1
School Support Team 1- Affinity Group,Affinity Group,2019,2019.0,1
School Support Team 5- Brooklyn North,Field Support Center - Brooklyn North,2019,2019.0,1
School Support Team 3- Manhattan,Field Support Center - Manhattan,4038,2019.0,2
School Support Team 7- Brooklyn North,Field Support Center - Brooklyn North,2019,2019.0,1
School Support Team 7- Bronx,Field Support Center - Bronx,4038,2019.0,2
School Support Team 5- Manhattan,Field Support Center - Manhattan,2019,2019.0,1
School Support Team 2- Manhattan,Field Support Center - Manhattan,6057,2019.0,3
School Support Team 1- Brooklyn South,Field Support Center - Brooklyn South,4038,2019.0,2
School Support Team 6- Manhattan,Field Support Center - Manhattan,4038,2019.0,2
School Support Team 5- Affinity Group,Affinity Group,2019,2019.0,1
School Support Team 2- Affinity Group,Affinity Group,66627,2019.0,33
School Support Team 7- Manhattan,Field Support Center - Manhattan,6057,2019.0,3
School Support Team 1- Manhattan,Field Support Center - Manhattan,6057,2019.0,3
School Support Team 6- Bronx,Field Support Center - Bronx,4038,2019.0,2
Children First Network 751,D75 CITYWIDE FSC,2019,2019.0,1
School Support Team 3- Brooklyn South,Field Support Center - Brooklyn South,6057,2019.0,3
School Support Team 6- Brooklyn North,Field Support Center - Brooklyn North,2019,2019.0,1
