property_floor_area_building,hospital_general_medical_13,hospital_general_medical_17,national_median_energy_cost,national_median_site_energy,energy_alerts
85550,Not Available,Not Available,Not Available,Not Available,Not Available
85550,Not Available,Not Available,Not Available,Not Available,Not Available
85550,Not Available,Not Available,Not Available,Not Available,Not Available
85550,Not Available,Not Available,Not Available,Not Available,Not Available
55190,Not Available,Not Available,Not Available,Not Available,Not Available
